Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,REPORTED Residential Gallons-per-Capita-Day (R-GPCD) (starting in September 2014),Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,CALCULATED R-GPCD 2014 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),CALCULATED R-GPCD 2013 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),% Residential Use,Comments/Corrections
Alco Water Service,CPUC Rule 14.1 Voluntary Conservation,No,Sep-14,128.006,156.049,MG,"Alco Water, in conjunction with its customers, was able to reduce its production by 28MG. This is a reduction of 18% in water produced in September 2014 as compared to the same month in 2013."," 29,141 ",120.7,,,,,128006000,156049000,120.72,147.17,82%,No Correction Needed
Alco Water Service,CPUC Rule 14.1 (Voluntary Conservation),No,Oct-14,123.951,140.553,MG,Alco Water in conjunction with its customers was able to reduce its water production by 16.6MG. This is a reduction of 12% in water produced in October 2014 as compared to the same month in 2013.," 29,141 ",115.31,,,,,123951000,140553000,115.31,130.76,84%,No Correction Needed
Alhambra  City of,Stage II,Yes,Jun-14,1022.66,1032.22,AF,," 85,068 ",,,,,,333235220.3,336350360,130.58,131.80,100%,No Correction Needed
Alhambra  City of,Stage II,Yes,Jul-14,1004.33,1104.97,AF,," 85,068 ",,,,,,327262363.7,360056051.3,124.10,136.53,100%,No Correction Needed
Alhambra  City of,2,Yes,Aug-14,1027.93,1118.02,AF,," 85,068 ",,,,,,334952457.4,364308412.4,127.02,138.15,100%,No Correction Needed
Alhambra  City of,II,Yes,Sep-14,930.07,1055.23,AF,," 85,068 ",103.31,,,,,303064636.7,343848201.3,103.32,117.22,87%,No Correction Needed
Alhambra  City of,Stage II,Yes,Oct-14,943.6,989.3,AF,," 85,068 ",104.9,,,,,307473406.5,322364816.7,104.94,110.02,90%,No Correction Needed
Amador Water Agency,2,Yes,Jun-14,133.219,131.191,MG,Not all wholesale meters are read on the same schedule. Some are read during the first wee of the month and other in the middle of the month.," 18,738 ",,Begins in July,,,,133219000,131191000,163.54,161.05,69%,No Correction Needed
Amador Water Agency,2,Yes,Jul-14,137.5644,175.08,MG,Not all wholesale meters are read at the beginning of the month. Some are read in the middle of the month.," 18,738 ",,"1st Violation- A written warning 2nd Violation- A water restriction device will be placed on the customer's meter for one week and associated service call fees will be charged to the customer. 3rd Violation- A water restriction device will be placed on the customer's meter for the duration of the water drought or water emergency, and associated service call fees will be charged to the customer. ","We have sent out letters to all of our customers. Those customers that do not receive a paper bill will have an electronic notice sent.  Press releases have been issued.  ""Save Our Water"" door hangers have been printed up with Emergency Water Conservation Requirements and Violations listed on them.  ",,,137564400,175080000,167.72,213.46,71%,No Correction Needed
Amador Water Agency,Stage 2,Yes,Aug-14,118.34,147.39,MG,," 18,738 ",,,,,,118340000,147390000,133.09,165.77,65%,No Correction Needed
Amador Water Agency,2,Yes,Sep-14,53.18,61.38,MG,," 18,738 ",,"Same as previously reported, written notices, restrictors...","Letters to customers, Press releases, Dorr tags",,,53180000,61380000,61.95,71.50,65%,No Correction Needed
Amador Water Agency,2,Yes,Oct-14,91.7,98.2,MG,37.42% Commercial," 18,738 ",98.79,Same as previous month,,,,91700000,98200000,98.79,105.79,63%,No Correction Needed
"American Canyon, City of",2,Yes,Jun-14,335,382,AF,," 19,532 ",,,Drought Emergency Stage 2 (Mandatory Compliance - Water Alert).  This action mandated certain water conservation practices city-wide with the goal of achieving a 20% reduction in water use.,20,AF,109160228,124475245.1,124.82,142.33,67%,No Correction Needed
"American Canyon, City of",2,Yes,Jul-14,355,406,AF,," 20,080 ",,,Drought Emergency Stage 2 (Mandatory Compliance - Water Alert).  This action mandated certain water conservation practices city-wide with the goal of achieving a 20% reduction in water use. ,,,115677256.6,132295679.4,122.65,140.27,66%,No Correction Needed
"American Canyon, City of",2,,Aug-14,299,402,AF,," 20,080 ",,,,32,AF,97429576.67,130992273.7,78.26,105.22,50%,No Correction Needed
"American Canyon, City of",Stage 2,Yes,Sep-14,295,363,AF,," 20,080 ",79,,,20,AF,96126170.97,118284068,79.15,97.39,50%,No Correction Needed
"American Canyon, City of",Stage 2,Yes,Oct-14,280,361,AF,Resubmitting October 2014 report due to previous report calculation error ," 20,080 ",78,,,16,AF,91238399.56,117632365.1,77.68,100.16,53%,No Correction Needed
Anaheim  City of,N/A,Yes,Jun-14,6328,6295,AF,"The monthly production includes groundwater, imported water, and water from storage.   The Residential Use Percentage excludes system water losses.  "," 356,762 ",,,,,,2061987830,2051234733,107.89,107.33,56%,No Correction Needed
Anaheim  City of,N/A,Yes,Jul-14,6830,6864,AF,"The monthly production includes groundwater, imported water, and water from storage.   The Residential Use Percentage excludes system water losses.  "," 356,762 ",,,,,,2225565246,2236644195,112.69,113.25,56%,No Correction Needed
Anaheim  City of,N/A,Yes,Aug-14,6534,6625,AF,"The monthly production includes groundwater, imported water, and water from storage.   The Residential Use Percentage excludes system water losses.  "," 356,762 ",,,,,,2129113224,2158765704,107.81,109.31,56%,No Correction Needed
Anaheim  City of,N/A,Yes,Sep-14,6166,6755,AF,"The monthly production includes groundwater, imported water, and water from storage.   The Residential Use Percentage excludes system water losses.  "," 356,762 ",105.1,,,,,2009199899,2201126389,105.13,115.17,56%,No Correction Needed
Anaheim  City of,N/A,Yes,Oct-14,5824,5805,AF,"The monthly production includes groundwater, imported water, and water from storage.   The Residential Use Percentage excludes system water losses.  Anaheim‰Ûªs share of Indirect Potable Reuse (IPR) or GWRS water in September = 1088.8 AF.  Anaheim‰Ûªs adjusted Total Potable Water Production (excluding IRP) = 4,735 AF.  Anaheim‰Ûªs adjusted GPCD (excluding IRP) = 78.1.  "," 356,762 ",96.1,,,,,1897758711,1891567534,96.09,95.78,56%,No Correction Needed
"Anderson, City of",,No,Jun-14,104.367,108.309,MG,," 10,050 ",,,Water Shortage Contingency Plan approved by City Council on 8/19/2014.,,,104367000,108309000,231.93,240.69,67%,No Correction Needed
"Anderson, City of",,No,Jul-14,113.185,126.998,MG,," 10,050 ",,,Water Shortage Contingency Plan approved by City Council on 8/19/2014.,,,113185000,126998000,214.34,240.50,59%,No Correction Needed
"Anderson, City of",1,Yes,Aug-14,99.417,118.777,MG,," 10,050 ",,,,,,99417000,118777000,319.10,381.25,100%,No Correction Needed
"Anderson, City of",1,Yes,Sep-14,83.273,93.086,MG,," 10,050 ",248.6,,,,,83273000,93086000,248.58,277.87,90%,No Correction Needed
"Anderson, City of",1,Yes,Oct-14,59.796,73.107,MG,," 10,050 ",165,,,,,59796000,73107000,172.74,211.19,90%,No Correction Needed
Antioch  City of,Stage 2,Yes,Jun-14,617.014,670.945,MG,"Information from 2013 Annual Large System Report.  Columns B and C included in residential total, Columns D thru G not included. "," 106,455 ",,,,,,617014000,670945000,144.90,157.57,75%,No Correction Needed
Antioch  City of,Stage 2,Yes,Jul-14,631.885,731.2,MG,," 106,455 ",,,,,,631885000,731200000,143.61,166.18,75%,No Correction Needed
Antioch  City of,Stage 2,Yes,Aug-14,589.387,700.148,MG,," 106,455 ",,,,,,589387000,700148000,142.88,169.73,80%,No Correction Needed
Antioch  City of,Stage 2,Yes,Sep-14,528.66,630.261,MG,"The percent residential use is calculated using finance department monthly consumption summary,categories M (Multiple), MA (>5 apts) and R (Residential).  The total for these categories divided by the total consumption is the percent residential use.  Billing is on a 30 day cycle, not calendar month.  Actual production numbers are from water treatment plant data and are for current calendar month.     "," 106,455 ",136,,,,,528660000,630261000,132.43,157.88,80%,No Correction Needed
Antioch  City of,Stage 2,Yes,Oct-14,493.748,554.867,MG,," 106,455 ",136,,,,,493748000,554867000,125.68,141.23,84%,No Correction Needed
Apple Valley Ranchos Water Company,Stage 1,No,Jun-14,741379,799425,CCF,," 62,602 ",,,,,CCF,554590005.2,598011428.5,295.30,318.42,100%,No Correction Needed
Apple Valley Ranchos Water Company,Stage 1,No,Jul-14,798100,845574,CCF,," 62,602 ",,,,,CCF,597020259.7,632533277.9,307.64,325.94,100%,No Correction Needed
Apple Valley Ranchos Water Company,Stage 2,Yes,Aug-14,761834,815753,CCF,"*64.5% reflects amount of residential  sold not produced * Remaining 35.5% includes (business,industrial,irrigation)"," 62,602 ",,,,,CCF,569891407.8,610225620.7,189.41,202.82,65%,No Correction Needed
Apple Valley Ranchos Water Company,(Per CPUC Request) CPUC Rule 14.1,Yes,Sep-14,705079,698879,CCF,," 62,602 ",147.7,,,,CCF,527435719.4,522797797.4,147.72,146.42,53%,No Correction Needed
Apple Valley Ranchos Water Company,(Per CPUC Request) CPUC Rule 14.1,Yes,Oct-14,629528,588820,CCF,Non-revenue water total of 2139 ccf's due to large mainline leak," 62,602 ",153.8,,,,CCF,470919646.7,440467948,153.85,143.90,63%,No Correction Needed
Arcadia  City of,Phase i,Yes,Jun-14,1733.86,1697.25,AF,," 45,048 ",,,,,,564980755.2,553051334.5,376.25,368.31,90%,No Correction Needed
Arcadia  City of,Phase i,Yes,Jul-14,1799,1814,AF,," 54,500 ",,,,,,586206717.2,591094488.6,312.27,314.88,90%,No Correction Needed
Arcadia  City of,Phase i,Yes,Aug-14,1707,1877,AF,," 45,048 ",,,,,,556228385.9,611623128.5,358.47,394.18,90%,No Correction Needed
Arcadia  City of,Phase i,Yes,Sep-14,1625,1842,AF,," 54,500 ",324,,,,,529508568.9,600218328.5,291.47,330.40,90%,No Correction Needed
Arcadia  City of,Phase i,Yes,Oct-14,1525.28,1596,AF,," 54,500 ",294,,,,,497014664.6,520058877.5,264.76,277.04,90%,No Correction Needed
Arcata  City of,None,No,Jun-14,63.007,51.77,MG,"Total population served data revised down from 19,546 (as reported in 2010 UWMP) because the City's UWMP was written for the City's water system (PWS#1210001) and the Jacoby Creek Water District (PWS#1210021), a retail customer of the City.  Water production data reported here does not include water supplied to the Jacoby Creek Water District and therefore that population is not included in the population data reported here."," 17,712 ",,,"A resolution triggering the City's Water Shortage Contingency Plan and implementation of mandatory water use restrictions is scheduled to go before the City Council of Arcata on August 20, 2014.",,,63007000,51770000,32.02,26.31,27%,No Correction Needed
Arcata  City of,None,No,Jul-14,64.033,63.907,MG,"Total population served data revised down from 19,546 (as reported in 2010 UWMP) because the City's UWMP was written for the City's water system (PWS#1210001) and the Jacoby Creek Water District (PWS#1210021), a retail customer of the City.  Water production data reported here does not include water supplied to the Jacoby Creek Water District and therefore that population is not included in the population data reported here."," 17,712 ",,,"A resolution to adopt emergency regulation for prohibited potable water uses is scheduled to go before the City Council of Arcata on August 20,2014.",,,64033000,63907000,33.82,33.75,29%,No Correction Needed
Arcata  City of,3,Yes,Aug-14,62.128,63.088,MG,"Humboldt State University, one of our largest water users, was back in session in August.  The increase in residential water use reflects the influx in population as students return for the semester.  "," 17,712 ",,,"Arcata City Council adopted and ordinance to activate the City's water shortage contingency plan and adopt restrictions on outdoor water use on August 20, 2014.",,,62128000,63088000,46.39,47.11,41%,No Correction Needed
Arcata  City of,3,Yes,Sep-14,66.739,64.389,MG,," 18,155 ",51,,,,,66739000,64389000,50.24,48.47,41%,No Correction Needed
Arcata  City of,3,Yes,Oct-14,55.201,58.412,MG,," 18,155 ",46,,,,,55201000,58412000,45.12,47.74,46%,No Correction Needed
Arroyo Grande  City of,Stage 1,Yes,Jun-14,270.8,304.9,AF,," 16,901 ",,,,,,88240566.43,99352100.09,139.23,156.76,80%,No Correction Needed
Arroyo Grande  City of,Stage 1,Yes,Jul-14,277.6,318.9,AF,," 16,901 ",,,,,,90456356.14,103914020.1,138.12,158.67,80%,No Correction Needed
Arroyo Grande  City of,Stage 1,Yes,Aug-14,266.5,308.6,AF,," 16,901 ",,,,,,86839405.3,100557750.4,132.60,153.54,80%,No Correction Needed
Arroyo Grande  City of,One,Yes,Sep-14,244.5,289.1,AF,," 16,901 ",157,,,,,79670673.9,94203647.55,125.71,148.64,80%,No Correction Needed
Arroyo Grande  City of,One,Yes,Oct-14,246,276.7,AF,," 16,901 ",153,,,,,80159451.04,90163089.85,122.40,137.67,80%,No Correction Needed
Arvin Community Services District,Stage 2,Yes,Jun-14,107150187,134250000,G,," 18,000 ",,,,,,107150187,134250000,198.43,248.61,100%,No Correction Needed
Arvin Community Services District,Stage 2,Yes,Jul-14,106995253,99070000,G,," 18,000 ",,,,,,106995253,99070000,191.75,177.54,100%,No Correction Needed
Arvin Community Services District,Stage 2,Yes,Aug-14,100342995,102752462,G,," 18,000 ",,,,,,100342995,102752462,179.83,184.14,100%,No Correction Needed
Arvin Community Services District,2,Yes,Sep-14,82964905,93123501,G,," 18,000 ",148.68,,,,,82964905,93123501,153.64,172.45,100%,No Correction Needed
Arvin Community Services District,2,Yes,Oct-14,70262193,75448888,G,," 18,000 ",125.92,,,,,70262193,75448888,125.92,135.21,100%,No Correction Needed
Atascadero Mutual Water Company,Stage 2,,Jun-14,199,229,MG,," 30,009 ",,"Remedies - In the event any person, firm, partnership, association, corporation, or political entity is found by the Board of Directors to be in violation of any restriction or prohibition of this Resolution, the Board of Directors may impose a special water waste surcharge against such person's account and may temporarily or permanently discontinue or restrict, with a flow regulating device, water service to the affected property. Before taking such action, the Board of Directors shall give any such person reasonable notice and an opportunity to be heard and protest against the finding of such violation and the imposition of such measures. The Board may determine the terms and conditions of the discontinuance or restriction of service and may establish, by Resolution, a schedule of the amount of such surcharges as in its sole discretion will reasonably compensate AMWC and its customers for all loss of water and other damages incurred.   Notices and Surcharges - The Board authorizes AMWC staff to issue the notices and assess the surcharges listed below to shareholders in violation of any restriction or prohibition of this Resolution.  The Board has determined that the surcharges listed below reasonably compensate AMWC and its customers for all loss of water and other damages incurred and as will foster water conservation within the service area of AMWC. •± 1st Violation - Written and verbal notice (door hanger & follow-up call) identifying nature of violation •± 2nd Violation - Written notice, including notification of possible surcharge and installation of flow restrictor •± 3rd Violation within a six-month period ‰ÛÒ penalty of a 50% surcharge based on current month's water usage added to current month's water bill •± 4th and Subsequent Violations within a six-month period ‰ÛÒ penalty of a 100% surcharge based on current month's water usage added to current month's water bill, plus installation of flow restrictor ","Stage 2 •± Use reduction goal, 15 - 35% •± Require alternate irrigation watering schedules •± Prohibit the use of potable water to irrigate landscaping and agricultural crops in a manner that causes surface runoff, over-watering, and other wasteful conditions •± Prohibit landscape irrigation during the hottest and windiest parts of the day •± Prohibit the washing of paved surfaces with water where sweeping would be an appropriate alternative •± Prohibit the washing of vehicles and other activities involving the use of a hose without a shut-off nozzle •± Require the repair of leaks and breaks in shareholder's plumbing within 24 hours of discovery •± Advise shareholders of prohibited and restricted uses and activities •± Continue with the development of new water resources •± Require the use of reclaimed water, where available •± Enforce restrictions and prohibitions by issuing warnings and citing violators •± Provide feedback to shareholders as to how they are doing ",,,199000000,229000000,176.84,203.49,80%,No Correction Needed
Atascadero Mutual Water Company,Stage 2,Yes,Jul-14,198.9,238,MG,," 30,009 ",,"Remedies - In the event any person, firm, partnership, association, corporation, or political entity is found by the Board of Directors to be in violation of any restriction or prohibition of this Resolution, the Board of Directors may impose a special water waste surcharge against such person's account and may temporarily or permanently discontinue or restrict, with a flow regulating device, water service to the affected property. Before taking such action, the Board of Directors shall give any such person reasonable notice and an opportunity to be heard and protest against the finding of such violation and the imposition of such measures. The Board may determine the terms and conditions of the discontinuance or restriction of service and may establish, by Resolution, a schedule of the amount of such surcharges as in its sole discretion will reasonably compensate AMWC and its customers for all loss of water and other damages incurred.  ","Wasteful Use of Water - No water user shall waste any water supplied through the distribution facilities of AMWC or through any well under agreement with AMWC.  The following restrictions and prohibitions on the use of water are in effect under this resolution:  A. Run-off from landscaped surfaces:  The watering of grass, lawns, ground-cover, shrubbery, open ground, crops and trees, including agricultural irrigation, in a manner or to an extent which allows substantial amounts of excess water to run off the area being watered is prohibited.  Every water user is deemed to have under his control at all times his water distribution lines and facilities and to know the manner and extent of his water use and excess runoff.  B. Washing of hard-surfaced areas:  The washing of sidewalks, walkways, driveways, parking lots and all other hard-surfaced areas by direct hosing is prohibited, except as directed by governmental entities or agencies to eliminate matters and substances dangerous to the public health and safety.   C. Plumbing leaks:  The escape of water through breaks or leaks within the water user‰Ûªs plumbing or distribution system for any substantial period of time within which such break or leak should reasonably have been discovered and corrected is prohibited.  It shall be presumed that a period of 24 hours after the water user discovers such leak or break, whichever occurs first, is a reasonable time within which to correct such leak or break.  D. Maintenance flushing:  The use of water by governmental entities or agencies is prohibited for (1) routine water system flushing for normal maintenance, (2) routine sewer system flushing for normal maintenance, and (3) fire personnel training; except as approved in advance in writing by the AMWC Board of Directors.  E. Washing of Vehicles:  The washing of vehicles and other activities involving the use of a hose without a shutoff nozzle is prohibited.   F. Outdoor Watering Hours:  The watering of grass, lawns, ground-cover, shrubbery, open ground, crops, and trees, including agricultural irrigation, between the hours of 10 a.m. and 5 p.m. is prohibited.  G. Outdoor Watering Days:  The watering of grass, lawns, ground-cover, shrubbery, open ground, crops, and trees, including agricultural irrigation, shall be limited to Tuesdays, Thursdays, and Saturdays for properties with even-numbered street addresses, and Wednesdays, Fridays, and Sundays for properties with odd-numbered street addresses. The watering of grass, lawns, ground-cover, shrubbery, open ground, crops, and trees, including agricultural irrigation, on Mondays on any property within the service area of AMWC is prohibited. ",,,198900000,238000000,171.05,204.67,80%,No Correction Needed
Atascadero Mutual Water Company,Stage 2,Yes,Sep-14,174,212,MG,," 30,009 ",169,,,,,174000000,212000000,154.62,188.39,80%,No Correction Needed
Atascadero Mutual Water Company,Stage 2,Yes,Oct-14,155,168,MG,," 30,009 ",137,,,,,155000000,168000000,133.29,144.47,80%,No Correction Needed
Atwater  City of,,Yes,Jun-14,372,355,MG,," 28,000 ",,,,,,372000000,355000000,376.43,359.23,85%,No Correction Needed
Atwater  City of,,Yes,Jul-14,351,452,MG,," 28,000 ",,,,,,351000000,452000000,343.72,442.63,85%,No Correction Needed
Atwater  City of,,Yes,Aug-14,343,351,MG,," 29,500 ",,,,,,343000000,351000000,375.07,383.82,100%,No Correction Needed
Atwater  City of,,Yes,Sep-14,257.56,340.31,MG,," 29,500 ",197,,,,,257560000,340310000,203.72,269.17,70%,No Correction Needed
Atwater  City of,,Yes,Oct-14,222.81,333.95,MG,," 29,500 ",176,,,,,222810000,333950000,170.55,255.62,70%,No Correction Needed
Azusa  City of,Phase 3,Yes,Jun-14,817438,859527,CCF,," 110,000 ",,,,,,611486088.3,642970846.7,100.06,105.21,54%,No Correction Needed
Azusa  City of,Phase 3,Yes,Jul-14,845199,919894,CCF,," 110,000 ",,,,,,632252758.4,688128498.7,100.12,108.97,54%,No Correction Needed
Azusa  City of,Phase 3,Yes,Aug-14,815667,934976,CCF,," 110,000 ",,,,,,610161288.3,699410618.1,96.62,110.76,54%,No Correction Needed
Azusa  City of,Phase 3,Yes,Sep-14,776313,883419,CCF,," 110,000 ",95,,,,,580722451.9,660843303.9,95.03,108.14,54%,No Correction Needed
Azusa  City of,Phase 3,Yes,Oct-14,752597,797441,CCF,," 110,000 ",86,,,,,562981651.9,596527293.5,85.85,90.97,52%,No Correction Needed
Bakersfield  City of,3,Yes,Jun-14,1929459,2082532,CCF,," 139,960 ",,,,36302,CCF,1443335564,1557842119,250.94,270.85,73%,No Correction Needed
Bakersfield  City of,3,Yes,Jul-14,2324900,2284542,CCF,"July 2013 total meters = 41,502. July 2014 total meters = 42,678."," 139,960 ",,,,83.3,AF,1739145974,1708956093,284.60,279.66,71%,No Correction Needed
Bakersfield  City of,3,Yes,Aug-14,2239896,2475799,CCF,The percentage above includes single-family and multi-family units.," 140,596 ",,,,,,1675558566,1852026265,277.56,306.80,72%,No Correction Needed
Bakersfield  City of,3,Yes,Sep-14,2182853,2285205,CCF,The percentage above includes single family and multi-family residential usage.," 140,049 ",277.5,,,,,1632887439,1709452052,277.49,290.51,71%,No Correction Needed
Bakersfield  City of,3,Yes,Oct-14,1795167,1902817,CCF,," 140,614 ",221,,,,,1342878171,1423405964,220.88,234.13,72%,No Correction Needed
Bakman Water Company,Stage 2,Yes,Jun-14,157803170.5,157254785,G,," 13,960 ",,CPUC Resolution W-5000 Compliance Bakman Tariff Rule 14.1,,,,157803170.5,157254785,354.19,352.96,94%,No Correction Needed
Bakman Water Company,Stage 2,Yes,Jul-14,144883740.8,183634704.5,G,CPUC Resolution W-5000 Bakman Water Co. Tariff Rule 14.1," 13,960 ",,,,,G,144883740.8,183634704.5,314.70,398.87,94%,No Correction Needed
Bakman Water Company,Stage 2,Yes,Aug-14,144393740.5,177423350,G,," 13,960 ",,,,,,144393740.5,177423350,313.64,385.38,94%,No Correction Needed
Bakman Water Company,Stage 2,Yes,Sep-14,123550308,143876547,G,," 13,960 ",,CPUC Rule 14.1,,,,123550308,143876547,277.31,322.93,94%,No Correction Needed
Bakman Water Company,Stage 2,Yes,Oct-14,104557200,115427760,G,Re-calculated residential percentage  CPUC Rule 14.1 (Conservation and Rationing Plan)," 13,960 ",220,,CPUC Rule 14.1 (Conservation and Rationing Plan),,,104557200,115427760,212.61,234.72,88%,No Correction Needed
Banning  City of,2,Yes,Jun-14,942.4,972.7,AF,Both Commericial and Irrigation are both large users.," 29,603 ",,,,,,307082384.8,316955683,190.18,196.29,55%,No Correction Needed
Banning  City of,2,Yes,Jul-14,987.2,1068.2,AF,," 29,603 ",,,,,,321680528.7,348074494.3,192.79,208.61,55%,No Correction Needed
Banning  City of,2,Yes,Aug-14,993.17,1038.08,AF,"The City breaks down the consumption by Commercial, Industrial, Public and Irrigation. this allows the City to Quantify the Residential usage."," 30,325 ",,,,,,323625861.8,338259849.3,182.46,190.71,53%,No Correction Needed
Banning  City of,2,Yes,Sep-14,831,848,AF,"The City tracks the amount of water used from Irrigation, Commercial, Industrial, Public and Residential."," 29,603 ",282,None at this time.,,,,270782535.8,276322010.1,167.70,171.13,55%,No Correction Needed
Banning  City of,2,Yes,Oct-14,736,819,AF,"City records the usage between Commercial, industrial, irrigation and residential."," 29,603 ",260,,,,,239826650.3,266872318.7,130.67,145.40,50%,No Correction Needed
Beaumont-Cherry Valley Water District,Stage 2,Yes,Jun-14,1530.4,1461.1,AF,," 42,353 ",,,,,,498683023.9,476101520,392.48,374.71,100%,No Correction Needed
Beaumont-Cherry Valley Water District,Stage 2,Yes,Jul-14,1597.3,1526.8,AF,," 42,353 ",,,,,,520482484.3,497509958.7,396.42,378.93,100%,No Correction Needed
Beaumont-Cherry Valley Water District,Stage 2,Yes,Aug-14,1316.7,1378,AF,10% of production was used for construction activity (grading)," 42,353 ",,,"August  13, 2014 District Board adopted Resolution 2014-04 implementing water shortage contingency regulations in accordance with Part 5 of Districts UWMP and Sec. 864 of Article 22.5 of the California Water Code. Information related to madatory restrictions is included in monthly billing statements, and provided on Districts website.",,,429048573.9,449023266.4,294.11,307.80,90%,No Correction Needed
Beaumont-Cherry Valley Water District,2,Yes,Sep-14,1230,1443,AF,," 42,353 ",114,,,,G,400797255.2,470203609.2,113.56,133.22,36%,No Correction Needed
Beaumont-Cherry Valley Water District,Stage 2,Yes,Oct-14,1193.4,1139.2,AF,," 42,353 ",190.22,,,,,388871093,371209945.6,216.21,206.39,73%,No Correction Needed
