Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,REPORTED Residential Gallons-per-Capita-Day (R-GPCD) (starting in September 2014),Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,CALCULATED R-GPCD 2014 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),CALCULATED R-GPCD 2013 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),% Residential Use,Comments/Corrections
Alco Water Service,2,Yes,Jun-14,135.685,150.725,MG,," 29,334 ",,,,,,135685000,150725000,130.1312925,144.5556919,84%,No Correction Needed
Alhambra  City of,Stage II,Yes,Jun-14,1022.66,1032.22,AF,," 85,068 ",,,,,,333235220.3,336350360,130.5760177,131.7966646,100%,No Correction Needed
Alhambra  City of,Stage II,Yes,Jul-14,1004.33,1104.97,AF,," 85,068 ",,,,,,327262363.7,360056051.3,124.0989613,136.5344352,100%,No Correction Needed
Alhambra  City of,2,Yes,Aug-14,1027.93,1118.02,AF,," 85,068 ",,,,,,334952457.4,364308412.4,127.0150701,138.1469445,100%,No Correction Needed
Alhambra  City of,II,Yes,Sep-14,930.07,1055.23,AF,," 85,068 ",103.31,,,,,303064636.7,343848201.3,103.3158704,117.2191404,87%,No Correction Needed
Amador Water Agency,2,Yes,Jun-14,133.219,131.191,MG,Not all wholesale meters are read on the same schedule. Some are read during the first wee of the month and other in the middle of the month.," 18,738 ",,Begins in July,,,,133219000,131191000,163.543658,161.0540241,69%,No Correction Needed
Amador Water Agency,2,Yes,Jul-14,137.5644,175.08,MG,Not all wholesale meters are read at the beginning of the month. Some are read in the middle of the month.," 18,738 ",,"1st Violation- A written warning  2nd Violation- A water restriction device will be placed on the customer's meter for one week and associated service call fees will be charged to the customer.  3rd Violation- A water restriction device will be placed on the customer's meter for the duration of the water drought or water emergency, and associated service call fees will be charged to the customer. ","We have sent out letters to all of our customers. Those customers that do not receive a paper bill will have an electronic notice sent.    Press releases have been issued.    ""Save Our Water"" door hangers have been printed up with Emergency Water Conservation Requirements and Violations listed on them.  ",,,137564400,175080000,167.7169872,213.4555896,71%,No Correction Needed
Amador Water Agency,Stage 2,Yes,Aug-14,118.34,147.39,MG,," 18,738 ",,,,,,118340000,147390000,133.0942504,165.766111,65%,No Correction Needed
Amador Water Agency,2,Yes,Sep-14,53.18,61.38,MG,," 18,738 ",,"Same as previously reported, written notices, restrictors...","Letters to customers, Press releases, Dorr tags",,,53180000,61380000,61.94589248,71.49753442,65%,No Correction Needed
"American Canyon, City of",2,Yes,Jun-14,335,382,AF,," 19,532 ",,,Drought Emergency Stage 2 (Mandatory Compliance - Water Alert).  This action mandated certain water conservation practices city-wide with the goal of achieving a 20% reduction in water use.,20,AF,109160228,124475245.1,124.8162891,142.3278282,67%,No Correction Needed
"American Canyon, City of",2,Yes,Jul-14,355,406,AF,," 20,080 ",,,Drought Emergency Stage 2 (Mandatory Compliance - Water Alert).  This action mandated certain water conservation practices city-wide with the goal of achieving a 20% reduction in water use. ,,,115677256.6,132295679.4,122.6497066,140.2698053,66%,No Correction Needed
"American Canyon, City of",2,Yes,Aug-14,299,402,AF,," 20,080 ",,,,32,AF,97429576.67,130992273.7,78.25920244,105.2180581,50%,No Correction Needed
"American Canyon, City of",Stage 2,Yes,Sep-14,295,363,AF,," 20,080 ",79,,,20,AF,96126170.97,118284068,79.14771049,97.3919285,50%,No Correction Needed
Anaheim  City of,N/A,Yes,Jun-14,6328,6295,AF,"The monthly production includes groundwater, imported water, and water from storage."," 356,762 ",,,,,,2061987830,2051234733,115.5945886,114.9917723,60%,No Correction Needed
Anaheim  City of,N/A,Yes,Jul-14,6830,6864,AF," The monthly production includes groundwater, imported water, and water from storage."," 364,921 ",,,,,,2225565246,2236644195,118.0404975,118.6281076,60%,No Correction Needed
Anaheim  City of,N/A,Yes,Aug-14,6534,6625,AF,"The monthly production includes groundwater, imported water, and water from storage."," 356,762 ",,,,,,2129113224,2158765704,115.5073776,117.1160662,60%,No Correction Needed
Anaheim  City of,N/A,Yes,Sep-14,6166,6755,AF,"The monthly production includes groundwater, imported water, and water from storage.  The residential use (percent) does not include Homeowners Associations (HOAs) water use.  HOAs water use is included in the CII water use."," 356,762 ",112.6,,,,,2009199899,2201126389,112.6353086,123.3946659,60%,No Correction Needed
"Anderson, City of",1,Yes,Sep-14,83.273,93.086,MG,," 10,050 ",248.6,,,,,83273000,93086000,248.5761194,277.8686567,90%,No Correction Needed
"Anderson, City of",1,Yes,Aug-14,99.417,118.777,MG,," 10,050 ",,,,,,99417000,118777000,319.1044776,381.245386,100%,No Correction Needed
"Anderson, City of",,No,Jul-14,113.185,126.998,MG,," 10,050 ",,,Water Shortage Contingency Plan approved by City Council on 8/19/2014.,,,113185000,126998000,214.3448885,240.5033542,59%,No Correction Needed
"Anderson, City of",,No,Jun-14,104.367,108.309,MG,," 10,050 ",,,Water Shortage Contingency Plan approved by City Council on 8/19/2014.,,,104367000,108309000,231.9266667,240.6866667,67%,No Correction Needed
Antioch  City of,Stage 2,Yes,Jun-14,617.014,670.945,MG,"Information from 2013 Annual Large System Report.  Columns B and C included in residential total, Columns D thru G not included. "," 106,455 ",,,,,,617014000,670945000,144.9001926,157.5654032,75%,No Correction Needed
Antioch  City of,Stage 2,Yes,Jul-14,631.885,731.2,MG,," 106,455 ",,,,,,631885000,731200000,143.605658,166.1765307,75%,No Correction Needed
Antioch  City of,Stage 2,No,Aug-14,589.387,700.148,MG,," 106,455 ",,,,,,589387000,700148000,133.9473289,159.1194826,75%,No Correction Needed
Antioch  City of,2,No,Sep-14,528.66,630.261,MG,"The percent residential use is calculated using City finance department monthly consumption summary.   The categories  used are M (Multiple), MA (>5 apts) and R (Residential).  The total for these categories divided by the totol consumption is the percent residential use.  Billing is on a 30 day cycle, not calendar month.  The percent residential use has been  about 82% to 84% for the last three months (July thru September).  Actual production numbers are from water treatment plant data and are for current calendar month.   "," 106,455 ",136,,,,G,528660000,630261000,139.0491757,165.7724672,84%,No Correction Needed
Apple Valley Ranchos Water Company,Stage 1,No,Jun-14,741379,799425,CCF,," 62,602 ",,,,,CCF,554590005.2,598011428.5,295.2994075,318.4197675,100%,No Correction Needed
Apple Valley Ranchos Water Company,Stage 1,No,Jul-14,798100,845574,CCF,," 62,602 ",,,,,CCF,597020259.7,632533277.9,307.6374246,325.9368596,100%,No Correction Needed
Apple Valley Ranchos Water Company,Stage 2,Yes,Aug-14,761834,815753,CCF,"*64.5% reflects amount of residential  sold not produced  * Remaining 35.5% includes (business,industrial,irrigation)"," 62,602 ",,,,,CCF,569891407.8,610225620.7,189.4095716,202.8150834,65%,No Correction Needed
Apple Valley Ranchos Water Company,(Per CPUC Request) CPUC Rule 14.1,Yes,Sep-14,705079,698879,CCF,," 62,602 ",147.7,,,,CCF,527435719.4,522797797.4,147.7222178,146.423246,53%,No Correction Needed
Arcadia  City of,Phase i,Yes,Jun-14,1733.86,1697.25,AF,," 45,048 ",,,,,,564980755.2,553051334.5,376.2525008,368.3080278,90%,No Correction Needed
Arcadia  City of,Phase i,Yes,Jul-14,1799,1814,AF,," 54,500 ",,,,,,586206717.2,591094488.6,312.2734806,314.8772061,90%,No Correction Needed
Arcadia  City of,Phase i,Yes,Aug-14,1707,1877,AF,," 45,048 ",,,,,,556228385.9,611623128.5,358.4746502,394.1751133,90%,No Correction Needed
Arcadia  City of,Phase i,Yes,Sep-14,1625,1842,AF,," 54,500 ",324,,,,,529508568.9,600218328.5,291.4726067,330.3954102,90%,No Correction Needed
Arcata  City of,None,No,Jun-14,63.007,51.77,MG,"Total population served data revised down from 19,546 (as reported in 2010 UWMP) because the City's UWMP was written for the City's water system (PWS#1210001) and the Jacoby Creek Water District (PWS#1210021), a retail customer of the City.  Water production data reported here does not include water supplied to the Jacoby Creek Water District and therefore that population is not included in the population data reported here."," 17,712 ",,,"A resolution triggering the City's Water Shortage Contingency Plan and implementation of mandatory water use restrictions is scheduled to go before the City Council of Arcata on August 20, 2014.",,,63007000,51770000,32.01575203,26.30589431,27%,No Correction Needed
Arcata  City of,None,No,Jul-14,64.033,63.907,MG,"Total population served data revised down from 19,546 (as reported in 2010 UWMP) because the City's UWMP was written for the City's water system (PWS#1210001) and the Jacoby Creek Water District (PWS#1210021), a retail customer of the City.  Water production data reported here does not include water supplied to the Jacoby Creek Water District and therefore that population is not included in the population data reported here."," 17,712 ",,,"A resolution to adopt emergency regulation for prohibited potable water uses is scheduled to go before the City Council of Arcata on August 20,2014.",,,64033000,63907000,33.81991797,33.75336932,29%,No Correction Needed
Arcata  City of,3,Yes,Aug-14,62.128,63.088,MG,"Humboldt State University, one of our largest water users, was back in session in August.  The increase in residential water use reflects the influx in population as students return for the semester.  "," 17,712 ",,,"Arcata City Council adopted and ordinance to activate the City's water shortage contingency plan and adopt restrictions on outdoor water use on August 20, 2014.",,,62128000,63088000,46.39187575,47.10872162,41%,No Correction Needed
Arcata  City of,3,Yes,Sep-14,66.739,64.389,MG,," 18,155 ",51,,,,,66739000,64389000,50.23958505,48.47055907,41%,No Correction Needed
Arroyo Grande  City of,Stage 1,Yes,Jun-14,270.8,304.9,AF,," 16,901 ",,,,,,88240566.43,99352100.09,139.2273695,156.7593241,80%,No Correction Needed
Arroyo Grande  City of,Stage 1,Yes,Jul-14,277.6,318.9,AF,," 16,901 ",,,,,,90456356.14,103914020.1,138.1194946,158.6682522,80%,No Correction Needed
Arroyo Grande  City of,Stage 1,Yes,Aug-14,266.5,308.6,AF,," 16,901 ",,,,,,86839405.3,100557750.4,132.596705,153.5435015,80%,No Correction Needed
Arroyo Grande  City of,One,Yes,Sep-14,244.5,289.1,AF,," 16,901 ",157,,,,,79670673.9,94203647.55,125.7056567,148.6360137,80%,No Correction Needed
Arvin Community Services District,2,Yes,Sep-14,82964905,93123501,G,," 18,000 ",148.68,,,,,82964905,93123501,153.638713,172.4509278,100%,No Correction Needed
Arvin Community Services District,Stage 2,Yes,Aug-14,100342995,102752462,G,," 18,000 ",,,,,,100342995,102752462,179.8261559,184.1441971,100%,No Correction Needed
Arvin Community Services District,Stage 2,Yes,Jul-14,106995253,99070000,G,," 18,000 ",,,,,,106995253,99070000,191.7477652,177.5448029,100%,No Correction Needed
Arvin Community Services District,Stage 2,Yes,Jun-14,107150187,134250000,G,," 18,000 ",,,,,,107150187,134250000,198.4262722,248.6111111,100%,No Correction Needed
Atascadero Mutual Water Company,Stage 2,Yes,Sep-14,174,212,MG,," 30,009 ",169,,,,,174000000,212000000,154.6202806,188.3879281,80%,No Correction Needed
Atascadero Mutual Water Company,Stage 2,Yes,Jul-14,198.9,238,MG,," 30,009 ",,"Remedies - In the event any person, firm, partnership, association, corporation, or political entity is found by the Board of Directors to be in violation of any restriction or prohibition of this Resolution, the Board of Directors may impose a special water waste surcharge against such person's account and may temporarily or permanently discontinue or restrict, with a flow regulating device, water service to the affected property.  Before taking such action, the Board of Directors shall give any such person reasonable notice and an opportunity to be heard and protest against the finding of such violation and the imposition of such measures.  The Board may determine the terms and conditions of the discontinuance or restriction of service and may establish, by Resolution, a schedule of the amount of such surcharges as in its sole discretion will reasonably compensate AMWC and its customers for all loss of water and other damages incurred.   ","Wasteful Use of Water - No water user shall waste any water supplied through the distribution facilities of AMWC or through any well under agreement with AMWC.  The following restrictions and prohibitions on the use of water are in effect under this resolution:    A. Run-off from landscaped surfaces:  The watering of grass, lawns, ground-cover, shrubbery, open ground, crops and trees, including agricultural irrigation, in a manner or to an extent which allows substantial amounts of excess water to run off the area being watered is prohibited.  Every water user is deemed to have under his control at all times his water distribution lines and facilities and to know the manner and extent of his water use and excess runoff.    B. Washing of hard-surfaced areas:  The washing of sidewalks, walkways, driveways, parking lots and all other hard-surfaced areas by direct hosing is prohibited, except as directed by governmental entities or agencies to eliminate matters and substances dangerous to the public health and safety.     C. Plumbing leaks:  The escape of water through breaks or leaks within the water user‰Ûªs plumbing or distribution system for any substantial period of time within which such break or leak should reasonably have been discovered and corrected is prohibited.  It shall be presumed that a period of 24 hours after the water user discovers such leak or break, whichever occurs first, is a reasonable time within which to correct such leak or break.    D. Maintenance flushing:  The use of water by governmental entities or agencies is prohibited for (1) routine water system flushing for normal maintenance, (2) routine sewer system flushing for normal maintenance, and (3) fire personnel training; except as approved in advance in writing by the AMWC Board of Directors.    E. Washing of Vehicles:  The washing of vehicles and other activities involving the use of a hose without a shutoff nozzle is prohibited.     F. Outdoor Watering Hours:  The watering of grass, lawns, ground-cover, shrubbery, open ground, crops, and trees, including agricultural irrigation, between the hours of 10 a.m. and 5 p.m. is prohibited.    G. Outdoor Watering Days:  The watering of grass, lawns, ground-cover, shrubbery, open ground, crops, and trees, including agricultural irrigation, shall be limited to Tuesdays, Thursdays, and Saturdays for properties with even-numbered street addresses, and Wednesdays, Fridays, and Sundays for properties with odd-numbered street addresses. The watering of grass, lawns, ground-cover, shrubbery, open ground, crops, and trees, including agricultural irrigation, on Mondays on any property within the service area of AMWC is prohibited.  ",,,198900000,238000000,171.0454606,204.6697819,80%,DATA CORRECTION
Atascadero Mutual Water Company,Stage 2,,Jun-14,199,229,MG,," 30,009 ",,"Remedies - In the event any person, firm, partnership, association, corporation, or political entity is found by the Board of Directors to be in violation of any restriction or prohibition of this Resolution, the Board of Directors may impose a special water waste surcharge against such person's account and may temporarily or permanently discontinue or restrict, with a flow regulating device, water service to the affected property.  Before taking such action, the Board of Directors shall give any such person reasonable notice and an opportunity to be heard and protest against the finding of such violation and the imposition of such measures.  The Board may determine the terms and conditions of the discontinuance or restriction of service and may establish, by Resolution, a schedule of the amount of such surcharges as in its sole discretion will reasonably compensate AMWC and its customers for all loss of water and other damages incurred.     Notices and Surcharges - The Board authorizes AMWC staff to issue the notices and assess the surcharges listed below to shareholders in violation of any restriction or prohibition of this Resolution.  The Board has determined that the surcharges listed below reasonably compensate AMWC and its customers for all loss of water and other damages incurred and as will foster water conservation within the service area of AMWC.  •± 1st Violation - Written and verbal notice (door hanger & follow-up call) identifying nature of violation  •± 2nd Violation - Written notice, including notification of possible surcharge and installation of flow restrictor  •± 3rd Violation within a six-month period ‰ÛÒ penalty of a 50% surcharge based on current month's water usage added to current month's water bill  •± 4th and Subsequent Violations within a six-month period ‰ÛÒ penalty of a 100% surcharge based on current month's water usage added to current month's water bill, plus installation of flow restrictor  ","Stage 2  •± Use reduction goal, 15 - 35%  •± Require alternate irrigation watering schedules  •± Prohibit the use of potable water to irrigate landscaping and agricultural crops in a manner that causes surface runoff, over-watering, and other wasteful conditions  •± Prohibit landscape irrigation during the hottest and windiest parts of the day  •± Prohibit the washing of paved surfaces with water where sweeping would be an appropriate alternative  •± Prohibit the washing of vehicles and other activities involving the use of a hose without a shut-off nozzle  •± Require the repair of leaks and breaks in shareholder's plumbing within 24 hours of discovery  •± Advise shareholders of prohibited and restricted uses and activities  •± Continue with the development of new water resources  •± Require the use of reclaimed water, where available  •± Enforce restrictions and prohibitions by issuing warnings and citing violators  •± Provide feedback to shareholders as to how they are doing  ",,,199000000,229000000,176.8358381,203.4945072,80%,No Correction Needed
Atwater  City of,,Yes,Aug-14,343,351,MG,," 29,500 ",,,,,,343000000,351000000,375.0683434,383.8162931,100%,No Correction Needed
Atwater  City of,,Yes,Jul-14,351,452,MG,," 28,000 ",,,,,,351000000,452000000,343.7211982,442.6267281,85%,No Correction Needed
Atwater  City of,,Yes,Jun-14,372,355,MG,," 28,000 ",,,,,,372000000,355000000,376.4285714,359.2261905,85%,No Correction Needed
Azusa  City of,Phase 3,Yes,Jun-14,817438,859527,CCF,," 110,000 ",,,,,,611486088.3,642970846.7,100.0613599,105.2134113,54%,No Correction Needed
Azusa  City of,Phase 3,Yes,Jul-14,845199,919894,CCF,," 110,000 ",,,,,,632252758.4,688128498.7,100.1221377,108.9704954,54%,No Correction Needed
Azusa  City of,Phase 3,Yes,Aug-14,815667,934976,CCF,," 110,000 ",,,,,,610161288.3,699410618.1,96.62378172,110.7571067,54%,No Correction Needed
Azusa  City of,Phase 3,Yes,Sep-14,776313,883419,CCF,," 110,000 ",95,,,,,580722451.9,660843303.9,95.02731031,108.1379952,54%,No Correction Needed
Bakersfield  City of,3,Yes,Sep-14,2182853,2285205,CCF,The percentage above includes single family and multi-family residential usage.," 140,049 ",277.5,,,,,1632887439,1709452052,277.4937418,290.505172,71%,No Correction Needed
Bakersfield  City of,3,Yes,Aug-14,2239896,2475799,CCF,The percentage above includes single-family and multi-family units.," 140,596 ",,,,,,1675558566,1852026265,277.5633696,306.7959909,72%,No Correction Needed
Bakersfield  City of,3,Yes,Jul-14,2324900,2284542,CCF,"July 2013 total meters = 41,502.  July 2014 total meters = 42,678."," 139,960 ",,,,83.3,AF,1739145974,1708956093,284.5959771,279.655668,71%,No Correction Needed
Bakersfield  City of,3,Yes,Jun-14,1929459,2082532,CCF,," 139,960 ",,,,36302,CCF,1443335564,1557842119,250.9371633,270.8451813,73%,No Correction Needed
Bakman Water Company,Stage 2,Yes,Jun-14,157803170.5,157254785,G,," 13,960 ",,CPUC Resolution W-5000 Compliance  Bakman Tariff Rule 14.1,,,,157803170.5,157254785,354.1904973,352.9596416,94%,No Correction Needed
Bakman Water Company,Stage 2,Yes,Jul-14,144883740.8,183634704.5,G,CPUC Resolution W-5000  Bakman Water Co. Tariff Rule 14.1," 13,960 ",,,,,G,144883740.8,183634704.5,314.7026442,398.873792,94%,No Correction Needed
Bakman Water Company,Stage 2,Yes,Aug-14,144393740.5,177423350,G,," 13,960 ",,,,,,144393740.5,177423350,313.6383124,385.3820801,94%,No Correction Needed
Bakman Water Company,Stage 2,Yes,Sep-14,123550308,143876547,G,," 13,960 ",,CPUC Rule 14.1,,,,123550308,143876547,277.3096693,322.9320778,94%,No Correction Needed
Banning  City of,2,Yes,Sep-14,831,848,AF,"The City tracks the amount of water used from Irrigation, Commercial, Industrial, Public and Residential."," 29,603 ",282,None at this time.,,,,270782535.8,276322010.1,167.6974121,171.1280451,55%,No Correction Needed
Banning  City of,2,Yes,Jun-14,942.4,972.7,AF,Both Commericial and Irrigation are both large users.," 29,603 ",,,,,,307082384.8,316955683,190.1781482,196.292747,55%,No Correction Needed
Banning  City of,2,Yes,Jul-14,987.2,1068.2,AF,," 29,603 ",,,,,,321680528.7,348074494.3,192.7924598,208.611128,55%,No Correction Needed
Banning  City of,2,Yes,Aug-14,993.17,1038.08,AF,"The City breaks down the consumption by Commercial, Industrial, Public and Irrigation. this allows the City to Quantify the Residential usage."," 30,325 ",,,,,,323625861.8,338259849.3,182.4553432,190.705763,53%,No Correction Needed
Beaumont-Cherry Valley Water District,Stage 2,Yes,Jun-14,1530.4,1461.1,AF,," 42,353 ",,,,,,498683023.9,476101520,392.4814644,374.7090092,100%,No Correction Needed
Beaumont-Cherry Valley Water District,Stage 2,Yes,Jul-14,1597.3,1526.8,AF,," 42,353 ",,,,,,520482484.3,497509958.7,396.4242807,378.9273097,100%,No Correction Needed
Beaumont-Cherry Valley Water District,Stage 2,Yes,Aug-14,1316.7,1378,AF,10% of production was used for construction activity (grading)," 42,353 ",,,"August  13, 2014 District Board adopted Resolution 2014-04 implementing water shortage contingency regulations in accordance with Part 5 of Districts UWMP and Sec. 864 of Article 22.5 of the California Water Code.  Information related to madatory restrictions is included in monthly billing statements, and provided on Districts website.",,,429048573.9,449023266.4,294.1054688,307.7977793,90%,No Correction Needed
Beaumont-Cherry Valley Water District,2,Yes,Sep-14,1230,1443,AF,," 42,353 ",114,,,,G,400797255.2,470203609.2,113.5590646,133.2241709,36%,No Correction Needed
Bella Vista Water District,4,Yes,Sep-14,860,1604,AF,M&I users are subject to drought penalty rates for any usage above 80% of their 3-year average usage for the same billing period.," 16,500 ",289,,,,,280232227.2,522665688.9,288.7241129,538.5040431,51%,No Correction Needed
Bella Vista Water District,4,Yes,Aug-14,1104,2238,AF,"The above numbers represent the billed water usage for the month of August.  The water meters in the District are read bimonthly (every 2 months). Therefore, the percentage of ""Residential Use"" will vary month to month because a different set of meters are read in even months and odd months. "," 16,500 ",,,,,,359739975.4,729255493.6,450.1145342,912.4604417,64%,No Correction Needed
Bella Vista Water District,4,Yes,Jul-14,1212,2355,AF,"The above numbers represent the billed water usage for the month of July. The water meters in the District are read bimonthly (every 2 months).  As a result the meter readings for July 1, 2014 reflect less than 1 day of usage during the month of July.  Similarly, meters read on September 30, 2014 reflect 1 day of usage during the month of July.  Therefore, the percentage of ""Residential Use"" will vary month to month because a different set of meters are read in even months and odd months.  In addition, metered water usage lags water production by at least 30 days.  The only reliable comparison is on an annual basis. "," 16,500 ",,,"On February 27, 2014 (5 months before the State's adoption of the emergency regulatory action) the District declared a water shortage emergency and in addition to imposing mandatory water usage allotments imposed the following water use restrictions:   ‰Û¢ During the summer months outside watering should be limited to non-windy periods and before 11 a.m. and after 6 p.m.  ‰Û¢ Construction and hauled water is $2.50 per HCF within the District.  ‰Û¢ No supply for construction or hauled water outside District boundary.  ‰Û¢ No filling of new ponds or new lakes.  ‰Û¢ No cleaning of driveway and other ""hard"" surfaces with water.  ‰Û¢ No car washing without the use of hose end shut-off devices.    Currently, all M&I customers are allotted 85% of their 3-year (2011, 2012 and 2013) historical usage for the same bimonthly period.  Customers who use in excess of their allotment are charged a penalty $2.50 per HCF for all usage over their allotment. Note: 85% of the 3-year average is equivalent to approximately 78% of the 1-year (2013) usage.   ",,,394931929.5,767380110.6,416.9369344,810.1373601,54%,No Correction Needed
Bella Vista Water District,4,Yes,Jun-14,1117,1954,AF,"The above numbers represent the billed water usage for the month of June.  The water meters in the District are read bimonthly (every 2 months).  As a result the meter readings for June 2, 2014 reflect less than 2 days of usage during the month of June.  Similarly, meters read on August 29, 2014 reflect 2 days of usage during the month of June. Therefore, the percentage of ""Residential Use"" will vary month to month because a different set of meters are read in even months and odd months.  In addition, metered water usage lags water production by at least 30 days.  The only reliable comparison is on an annual basis."," 16,500 ",,,"On February 27, 2014 (5 months before the State's adoption of the emergency regulatory action) the District declared a water shortage emergency and in addition to imposing mandatory water usage allotments as well as imposed the following water use restrictions:   ‰Û¢ During the summer months outside watering should be limited to non-windy periods  and before 11 a.m. and after 6 p.m.  ‰Û¢ Construction and hauled water is $2.50 per HCF within the District.  ‰Û¢ No supply for construction or hauled water outside District boundary.  ‰Û¢ No filling of new ponds or new lakes.  ‰Û¢ No cleaning of driveway and other ""hard"" surfaces with water.  ‰Û¢ No car washing without the use of hose end shut-off devices.    Currently, all M&I customers are allotted 85% of their 3-year (2011, 2012 and 2013) historical usage for the same bimonthly period.  Customers who use in excess of their allotment are charged a penalty $2.50 per HCF for all usage over their allotment. Note: 85% of the 3-year average is equivalent to approximately 78% of the 1-year (2013) usage.",,,363976044,636713688.4,330.8873127,578.8306258,45%,No Correction Needed
Bellflower-Somerset Mutual Water Company,Stage 1,Yes,Jun-14,482.38,498.99,AF,," 46,300 ",,,,,,157184211.4,162596603.6,97.32067802,100.6717632,86%,No Correction Needed
Bellflower-Somerset Mutual Water Company,Stage 1,Yes,Jul-14,507.54,527.02,AF,," 46,300 ",,,,,,165382633.3,171730219.1,99.0936143,102.8969473,86%,No Correction Needed
Bellflower-Somerset Mutual Water Company,Stage 1,Yes,Aug-14,485.89,523.46,AF,," 46,300 ",,,,,,158327949.9,170570188,94.86660411,102.2018823,86%,No Correction Needed
Bellflower-Somerset Mutual Water Company,Stage 1,Yes,Sep-14,467.51,505.67,AF,," 46,300 ",94.32,,,,,152338800.6,164773291.1,94.3206397,102.0194603,86%,No Correction Needed
