Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,% Residential Use,Comments/Corrections
Morro Bay  City of,Severely Restricted ,Yes,Jun-14,34544401,36565077,G,"Morro Bay has had moderately restricted water supply water conservation measures for years now, and since approx. February the City went to severely restricted water supply.  This year Morro Bay has been experiencing a influx in tourism resulting in more water use in restaurants, hotels and vacation homes. ",10234,The City of Morro Bay has been writing letters to potential violators and reminding them of our current water situation.  Compliance has been good.,"Water Conservation information has been updated on the City website, Channel 20 (local Channel) and discussed at City Council meetings.  Flyers were sent to every mail receptacle in Morro Bay with the water restrictions and water conservation was addressed in the Utility newsletter.  ",,G," 34,544,401 "," 36,565,077 ",66%,No Correction Needed
Yorba Linda Water District,Permanent Restrictions Only,Yes,Jun-14,2298.3,2185,AF,,73990,,"The State's Emergency Regulations regarding outdoor water use, including prohibitions on washing down hard or paved surfaces, runoff caused by over irrigation, using a hose without an automatic shut-off nozzle and using potable water in fountains without water recirculation are part of YLWD's Permanent Water Use Restrictions and have been in effect since July 1, 2009.",,," 748,904,335 "," 711,985,368 ",67%,No Correction Needed
Long Beach  City of,Immanent Shortage,Yes,Jun-14,5177,5402,AF,"The 'percent residential use' includes both single family, duplex and multi-family accounts.",471000,"Massive communication with customers about the prohibitions, including bill inserts, bill boards, print media, etc.","Encourage customers to report violations; reporting can be done using telephone ""hot line"", smart phone app, on-line website, and by email.  Reports are processed and information letter sent to owner of the water account allegedly in violation of the prohibitions.",,," 1,686,932,838 "," 1,760,249,409 ",73%,No Correction Needed
"Los Banos, City of",3,Yes,Jun-14,300808000,321727000,G,,35972,,,,," 300,808,000 "," 321,727,000 ",100%,No Correction Needed
Turlock  City of,1,Yes,Jun-14,791,748,MG,,71181,,,33,MG," 791,000,000 "," 748,000,000 ",64%,No Correction Needed
Jurupa Community Service District,Level 2,Yes,Jun-14,2884.2,2854.249,AF,,101700,,"The Board adopted Level 2 of our WSCP in 08/2014. We have almost completed a procedure for customer notification for violations and expect completion by 08/29/2014. We have added water waste violations to our smart phone app and will be notifying residents of the new restrictions via the utility bills, a regional media campaign, events and other forms of community outreach.",,," 939,820,686 "," 930,061,110 ",63%,No Correction Needed
Coastside County Water District,Stage 2,Yes,Jun-14,67.83,69.55,MG,"Reporting percentage residential use on a monthly basis does not reflect actual residential use, since production data is monthly and residential use is bi-monthly. This percentage should not be used.",16652,,,,," 67,830,000 "," 69,550,000 ",69%,No Correction Needed
Citrus Heights Water District,Stage 3 Water Warning,Yes,Jun-14,1548,1816,AF,Based on use by category,67475,,,,," 504,418,009 "," 591,746,191 ",85%,No Correction Needed
Burlingame  City of,2,Yes,Jun-14,170055,195181,CCF,,30282,,,,," 127,209,974 "," 146,005,527 ",62%,No Correction Needed
Orange Vale Water Company,3,Yes,Jun-14,549.16,634.97,AF,,15200,,,,," 178,944,570 "," 206,905,881 ",95%,No Correction Needed
Dublin San Ramon Services District,3,Yes,Jun-14,273.076,387.061,MG,,77374,,,161.48,MG," 273,076,000 "," 387,061,000 ",80%,No Correction Needed
Los Angeles Department of Water and Power,Phase 2,Yes,Jun-14,50983,51327,AF,Economy - June 2014's unemployment rate was 8.2 percent compared to 10.2 percent in June 2013.,3935257,"LADWP staffs the Water Conservation Response Unit (WCRU) who actively patrols Los Angeles communities and enforces the Cityâ€™s Water Shortage Contingency Plan, which is called the Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. Repeat violators are issued monetary fines ranging from $100-$600.","LADWP implements multiple conservation programs:  â€¢ Extensive water conservation rebate and incentives programs  â€¢ Outreach & Education campaign which includes media advertising and community outreach  â€¢ City facility water conservation retrofits  â€¢ Local water conservation ordinances  Please see LADWP's submission to the SWRCB on June 6th which provides detailed information on our water conservation programs, drought response, and enforcement.  ",1119,AF," 16,612,883,303 "," 16,724,976,194 ",66%,No Correction Needed
El Dorado Irrigation District,2,Yes,Jun-14,3811,4815,AF,Monthly production includes estimated agricultural use of 29.42%. The estimated percentages for residential and agricultural use vary from month to month due to the Districtâ€™s bi-monthly meter reading cycles. Monthly production includes wholesale deliveries to the City of Placerville because they are not an urban water supplier. Report does not include 371 acre-feet of recycled water produced for uses that would otherwise require potable water.,128500,,,,," 1,241,819,788 "," 1,568,974,621 ",37%,No Correction Needed
El Centro  City of,None,Yes,Jun-14,270304000,291321000,G,,44311,,,,," 270,304,000 "," 291,321,000 ",75%,No Correction Needed
Milpitas  City of,0,No,Jun-14,405064,442010,CCF,,70817,,,,," 303,008,914 "," 330,646,442 ",100%,No Correction Needed
Santa Rosa  City of,Stage 1 - Mandatory,Yes,Jun-14,599410818,655669334,G,,170093,"The City has implemented Stage 1 - Mandatory.   The City has implemented weekly water watch patrols and also provides options for the community to report water waste and Stage 1 Mandatory violations through our website, hotline and MySantaRosa app.  Water Use Efficiency staff and City field crews have been trained and can door tag any home or business for a violation.  The City has a progressive enforcement program that starts with information and education and can ultimately lead to turning off the customer's water.","The City has implemented Stage 1 - Mandatory, which requires the following:  -20% community-wide reduction in water use;  -Compliance with the Cityâ€™s water waste ordinance which prohibits runoff from irrigated areas and prohibits property side breaks and leaks;  -Irrigation can only occur between the hours of 8 PM through 6 AM;    -Prohibits washing down hardscapes unless required for public health and safety;  -Prohibits using potable water for street washing;   -Requires shut-off hose nozzles for all garden and utility hoses; and  - Requires â€œWater-on-requestâ€ù at all restaurants.  The City is providing information to the community through bill inserts, bill face messages, social media, dedicated website, radio and newspaper ads.  The City is providing education and information to all City employees. The City offers numerous rebates and incentive programs, including free home and commercial audits. The City continues to participate in the regional media campaign - ""There's a Drought On. Turn the Water Off.""  The media campaign includes newspaper and radio ads, before the movie ads, dedicated website, and local cable channel video. In addition, a DIY Outdoor Drought Solutions event will be held August 23rd from 10AM - 4PM to educate the community about outdoor efficiency, rebates and incentive programs.",,," 599,410,818 "," 655,669,334 ",71%,No Correction Needed
Westminster  City of,Permanent Water Limitations,Yes,Jun-14,1171.7,1157.1,AF,76% is the actual percentage of residential water from the EAR report in June 2013. Percentage for June 2014 will be available in September 2014.  R-GPCD 103.64,93322,,,,," 381,800,117 "," 377,042,686 ",76%,No Correction Needed
Mid-Peninsula Water District,None,No,Jun-14,139729,150614,CCF,,26030,,,,," 104,524,551 "," 112,667,096 ",85%,No Correction Needed
Daly City  City of,II,Yes,Jun-14,200674.2,212375.8,CCF,,110598,,,,CCF," 150,114,726 "," 158,868,131 ",96%,No Correction Needed
Delano  City of,Stage 2,Yes,Jun-14,337.04,351.26,MG,Residential base off of latest Urban Water Managment Plan.,48957,At this time we are working at educating the customers that are not following the guidelines.,The City of Delano has had a water conservation plan in place for several years. There was a considerable drop in usage when this was implmented.,,," 337,040,000 "," 351,260,000 ",52%,No Correction Needed
Anaheim  City of,N/A,Yes,Jun-14,6328,6295,AF,"The monthly production includes groundwater, imported water, and water from storage.",356762,,,,," 2,061,987,830 "," 2,051,234,733 ",60%,No Correction Needed
Coachella Valley Water District,2,Yes,Jun-14,11009.1,11935.7,AF,,202660,,,,," 3,587,330,945 "," 3,889,264,877 ",79%,No Correction Needed
Lake Hemet Municipal Water District,3,Yes,Jun-14,1096,1163,AF,,52914,,,,," 357,133,164 "," 378,965,210 ",65%,No Correction Needed
Carmichael Water District,2,Yes,Jun-14,358.07,411.86,MG,Carmichael Water District collects meter use data on a bimonthly basis.  Half of the meters are read each month therefore data is not available until the end of the following month.  The above percentage is an estimate based on previous years data. ,38354,,,,," 358,070,000 "," 411,860,000 ",83%,No Correction Needed
Pleasanton  City of,Stage 3,Yes,Jun-14,461.85,702.52,MG,Commercial: 7.3%  Irrigation: 15.3 %  Multi-Family Residential: 6.1%  Single Family Residential: 71.3%    City of Pleasanton bills bi-monthly in arrears so this data reflects consumption percentage by revenue class billed in June.  ,71871,,,3.05,MG," 461,850,000 "," 702,520,000 ",77%,No Correction Needed
Santa Monica  City of,Stage 2 as of 8/12/14,Yes,Jun-14,416.6,409.8,MG,,92185,,,3.3,MG," 416,600,000 "," 409,800,000 ",80%,No Correction Needed
California Water Service Company Antelope Valley,2,No,Jun-14,109,85,AF,,3424,,,,," 35,517,806 "," 27,697,371 ",93%,No Correction Needed
Watsonville  City of,Voluntary 20% Reduction,No,Jun-14,256538452,271563712,G,"18.9% of this month's water was delivered to one agricultural customer.  The other 81.1% was delivered to a combination of Residential, Commercial/Institutional, Industrial, and Other accounts.",65739,,,,," 256,538,452 "," 271,563,712 ",81%,No Correction Needed
San Jose  City of,In progress to invoke Stage 1,Yes,Jun-14,699,737,MG,"Local economy has improved over the last 1-2 years, and several new multi-family residential developments were constructed and occupied during this time.  Weather in June 2014 was hotter than weather in June 2013. Percentage Residential Use varies monthly because we bill bimonthly. So the Percentage Residential Use is calculated based on the consumption of the reporting month and the previous month.  Recycled water information (reported in #11) is customer usage data, which is also billed bimonthly.",114974,"Muni Water has in place an enforcement process, which starts with notification and education and escalates to potential fines as listed in the City of San Jose Municipal Code. Staff receive notifications of violations through phone, email, and website; logs each incident; and follows up through by investigation and notification of the responsible party by phone, mail, email, and when necessary and if possible, in person.","Muni Water is scheduled to be on the San Jose City Council Agenda for Council to declare a water shortage of 20%, which would trigger Stage 1 of Muni Water's Water Shortage Contingency Plan. Stage 1 includes mandatory restrictions on daytime watering. In addition, Muni Water is implementing other water use restrictions, which are in effect at all times to prevent water waste.",201,MG," 699,000,000 "," 737,000,000 ",46%,No Correction Needed
Dinuba  City of,Two,Yes,Jun-14,127.3,146.5,MG,,23666,,,,," 127,300,000 "," 146,500,000 ",67%,No Correction Needed
Sacramento Suburban Water District,Stage 2 - Water Warning,Yes,Jun-14,1413.213,1367.382,MG,The estimated percentage of residential water usage was calculated using the average percentage of residential service connections within the District based on data reported in the Active Service Connection section of DWR Public Water System Statistics Reports from 2007-2012.,170615,,,,," 1,413,213,000 "," 1,367,382,000 ",94%,No Correction Needed
San Jose Water Company,3,Yes,Jun-14,4569.8,4926.9,MG,,990000,,,134354,CCF," 4,569,800,000 "," 4,926,900,000 ",70%,No Correction Needed
Rowland Water District,Conservation Rate,No,Jun-14,1063,1054.3,AF,,62106,,,96.7,AF," 346,380,067 "," 343,545,159 ",51%,No Correction Needed
Chino  City of,see qualification below,Yes,Jun-14,1579.99,1629.59,AF,"The City of Chino's Water Conservation Ordinance describes the elements of its Water Shortage Contingency Plan, and it stipulates that water conservation is required (i.e., mandatory) at all times.  Enhanced conservation measures are required and implemented in an escalating fashion depending on water supply circumstances.",76618,,,,," 514,841,996 "," 531,004,227 ",64%,No Correction Needed
South Tahoe Public Utilities District,2,Yes,Jun-14,249,240,MG,,33124,,,,," 249,000,000 "," 240,000,000 ",94%,No Correction Needed
"Soledad, City of",Stage 1,No,Jun-14,78161700,81466400,G,"Note: population is based off of official census. However, the actual unoffical population is closer to 20,000 person.",16729,,,,," 78,161,700 "," 81,466,400 ",83%,No Correction Needed
North Marin Water District,2,Yes,Jun-14,308,357,MG,"The percentage residential use is based on the FY2013/14 metered water use, including irrigation, for all NMWD residential accounts in the Novato service territory.",61940,,,25,MG," 308,000,000 "," 357,000,000 ",82%,No Correction Needed
Marin Municipal Water District,1,No,Jun-14,2610,2836,AF,Residential water use accounts for 75 percent of the total water use on an annual basis.,187500,,,93,AF," 850,472,224 "," 924,114,647 ",75%,No Correction Needed
Shafter  City of,3,No,Jun-14,200,209,MG,"City services are not fully-metered to date. To estimate residential usage and percentage of overall system use, the approximate number of residential connections was multiplied by the typical July usage of 35,000 gallons per connection which was then divided by the metered citywide use.",18488,,,,," 200,000,000 "," 209,000,000 ",67%,No Correction Needed
"Windsor, Town of",Stage 2 Mandatory 20%  ,Yes,Jun-14,392.427,426.194,AF,,28234,,,,," 127,872,898 "," 138,875,923 ",66%,No Correction Needed
Indian Wells Valley Water District,2,Yes,Jun-14,273142000,266919000,G,,31120,"The emergency actions issued by the State Water Resources Control Board July 15th mirror the restrictions contained in IWVWD's Ordinance 93, adopted in May 2010.  In addition, Ordinance 93 restricts landscape watering to between the hours of 8:00 PM and 8:00 AM from May 1st to October 31st and requires leaks to be repaired in a timely manner.  There is a four-step penalty process for repeated violations.  The initial violation is a warning along with educational materials provided.  A second violation can result in a fine of up to $50 added to the bill for the account.  A third violation can result in a fine of up to $200 added to the bill and issuing a warning that service may be terminated within 30 days if the issue is not addressed.  A fourth violation can result in a 48 hour notice of termination of service.","We have realized a 19% reduction in pumping since 2007 and two of the last three months, have achieved reductions of 8% to 9% compared to the same month in 2013.   ",,," 273,142,000 "," 266,919,000 ",92%,No Correction Needed
Ontario  City of,Stage 1,Yes,Jun-14,3576,3482,AF,,166866,,,456,AF," 1,165,244,703 "," 1,134,614,669 ",53%,No Correction Needed
Huntington Beach  City of,Stage 1 to Council on Monday,Yes,Jun-14,2973.3,3002,AF,"Please discard the earlier report submitted.  It was for total water year ending in June, not the month of june",196041,,,,," 968,854,048 "," 978,205,984 ",73%,No Correction Needed
Calaveras County Water District,Stage III,Yes,Jun-14,188.685,216.476,MG,"While CCWD does not have exact data on the percentage of water going to residential use only, the District does know that 4 percent of its connections are commercial. Thus, the District has given an estimate of 96 percent for the percentage of water going to residential use only.",31750,"Enforcement of CCWD Stage III Conservation measures:    â€¢ CCWD will strive to educate and inform customers of conservation measures before taking enforcement action.  â€¢ If customers violate the conservation order, they will first receive a written warning letter.   â€¢ If the problem persists, those in violation could have their water governed by a flow-restricting device for a period of 30 days, or until the CCWD Board of Directors repeals the state of emergency.  â€¢ Those in violation could be fined up to $500/day.  â€¢ The district may also pursue a misdemeanor violation of California Water Code Section 31029. If convicted of this crime, a person could be put in jail for up to 30 days, fined up to $600 or both.  ","CCWD Mandatory Stage III Water Conservation Measures:    â€¢      All irrigation is prohibited between 10 a.m. and 6 p.m.  â€¢      Residential landscaping can only be watered on an odd/even day watering cycle  o   Odd-numbered addresses: Tuesdays, Thursdays and Saturdays.  o   Even-numbered addresses: Mondays, Wednesdays and Thursdays  o   No outdoors watering on Sundays  â€¢      Filling of new or existing pools and spas is prohibited, however topping off pools and spas is allowed. Customers are encouraged to use pool and spa covers.  â€¢      Pressure-washing/cleaning hardscape (e.g. houses, patios, driveways and sidewalks) is prohibited  â€¢      Use of water in decorative fountains and ponds is prohibited unless used to preserve aquatic life, if present  â€¢      No wasteful or negligent use of water (e.g. allowing water to run off property into the street)  â€¢      Irrigation water for commercial landscaping, schools and parks shall be reduced by 35%  â€¢      Treated effluent will be used for dust control  â€¢      Golf course irrigation will be restricted to greens and tees if raw water is the sole source, and raw water delivery to courses will be reduced by 35% where treated effluent is being used.  ",24.449,MG," 188,685,000 "," 216,476,000 ",96%,No Correction Needed
Santa Maria  City of,Zero,No,Jun-14,1364,1375,AF,The city has large agricultural parking sheds,101103,,,,," 444,461,346 "," 448,045,712 ",97%,No Correction Needed
Yuba City  City of,2,No,Jun-14,579.66,571.87,MG,,65372,,,,," 579,660,000 "," 571,870,000 ",70%,No Correction Needed
Escondido  City of,Stage 2,Yes,Jun-14,792.13,791.37,MG,,145901,,,,," 792,130,000 "," 791,370,000 ",60%,No Correction Needed
Los Angeles County Public Works Waterworks District 29,Equivalent Mandated Compliance,Yes,Jun-14,953.82,871.42,AF,,31037,,,,," 310,803,608 "," 283,953,451 ",76%,No Correction Needed
Corona  City of,2,Yes,Jun-14,1148.23,1157.48,MG,Data supplied is from the annual water production reporting to the Department of Water Resources.,150416,"Corona monitors customersâ€™ water usage through the established water allocation (water budget) rate structure. Each month a report is generated identifying customers with water usage in the top tier (tier 5, tier 4 for CI/government/landscape). These customers are contacted to assist in addressing their high water usage. In June 2014, 256 residential, 77 multi-family residential, 240 commercial/industrial, 40 government, and 32 dedicated landscape meters were identified with top tier water usage.","In June 2014 Corona's Water Resources Team received 232 calls relating to water conservation related questions, rebate programs and water waste. A total of 109 landscape checkups/surveys were completed, 10 follow up site visits, 26 mini audits and installation of water saving devices at seven properties. One education event was held and zero classroom presentations were completed. Eight bathroom aerators, six hose nozzles, three kitchen aerators, eight showerheads, four toilet dye tablets, and eight shower timers were delivered to residential customers. 98 rebates were issued for residential customers and zero commercial rebates.",66.57,MG," 1,148,230,000 "," 1,157,480,000 ",64%,No Correction Needed
Burbank  City of,I,No,Jun-14,1755.4,1784.3,AF,,105543,,"Stage II including mandatory restrictions was invoked effective August 1.    Population in item 7 is from Department of Finance Report E-1, population estimate for 1/1/2014, report released 5/1/2014.",234.2,AF," 571,999,595 "," 581,416,701 ",74%,No Correction Needed
Camarillo  City of,1,Yes,Jun-14,876,926.7,AF,,45500,,,,," 285,445,850 "," 301,966,517 ",57%,No Correction Needed
Roseville  City of,2,Yes,Jun-14,3542.9,4001.1,AF,,118512,"runoff is prohibited; use of fountains without a recirculations system is prohibited; use of a hose without a shutoff nozzle is prohibited; washing streets, parking lots, driveways, sidewalks or buildings prohibited unless for health and safety, residential users to reduce use by 20%, commercial irrigation customers reduce by 30%, commercial domestic reduce by 10%. ",,,," 1,154,459,021 "," 1,303,764,145 ",44%,No Correction Needed
Vista Irrigation District,Level 1,Yes,Jun-14,1991,1972,AF,Percentage is related to estimated water sales rather than water production.,124293,,,,," 648,770,191 "," 642,579,014 ",72%,No Correction Needed
West Valley Water District,Stage 2,Yes,Jun-14,2055.2,2148.8,AF,,68648,,,,," 669,689,853 "," 700,189,546 ",69%,No Correction Needed
Napa  City of,Stage 2,Yes,Jun-14,1519,1624,AF,"With the exception of 2011, this June 2014 production for City of Napa water customers was the lowest June total since 1998, when the City served 9,000 fewer people.",86000,"The City of Napa has formalized its Water Waste Reporting database and encouraged customers to report violations via phone or email (link on the City's web site).  Water Division field staff are tasked with reporting violations and educatiing customers in the course of their normal duties.  The City has fielded an average of about 2 reports per day, primarily irrigation runoff.  Enforcement has been limited to education, site visits, and confirmation of repairs.  No fines or penalties have been issued to date.","The City of Napa began its educational/awareness campaign on the four statewide water waste prohibitions beginning in mid-July with a bill insert (English and Spanish), web site updates, newspaper articles, radio ads, displays at public buildings and community events, and direct letters to gardening and landscaping businesses.    On August 19, City Council is adopting the local Moderate Water Shortage Regulations (Stage 2 of Water Shortage Contingency Plan) which include the four statewide prohibitions in addition to restrictions on irrigation time of day (10am to 5pm prohibited), pool draining/refilling (only allowed for repairs), and restaurant drinking water service (only allowed upon patron request).  Regulations also include recommendation to limit outdoor irrigation of ornamental landscapes or turf to no more than two days per week.",,," 494,968,318 "," 529,182,717 ",70%,No Correction Needed
Mission Springs Water District,1-A,Yes,Jun-14,812.96,780.86,AF,,34766,None,"MSWD, in partnership with the City of Desert Hot Springs, has regulated installation of low-water use landscaping since 2005. Through the entitlement and permitting process, MSWD review all landscape plans to ensure compliance with the local ordinance.",,," 264,904,176 "," 254,444,345 ",78%,No Correction Needed
Los Angeles County Public Works Waterworks District 40,Equivalent Mandated Compliance,Yes,Jun-14,5831,6628,AF,,206324,,,,," 1,900,039,671 "," 2,159,743,258 ",77%,No Correction Needed
Hawthorne  City of,2,No,Jun-14,395,375,AF,,43496,,,,," 128,711,314 "," 122,194,285 ",83%,No Correction Needed
Nipomo Community Services District,2,Yes,Jun-14,227.6,272.1,AF,4-block escalting rates with 10% per year increases past three and next two years.  Steady drop in per capita.  Active outreach focused at goal of 30% reduction in overall production (Stage 3 requirement). $17M pipeline project underway to bring community its FIRST supplement to groundwater.,12148,,,,," 74,163,785 "," 88,664,173 ",70%,No Correction Needed
Rancho California Water District,Stage 3 Water Warning,Yes,Jun-14,7673,7030,AF,"RCWD service area includes about 18,000 acres of agricultural and ranch lands, primarily vineyards, avocado, and citrus trees. Agricultural use of water represents between 25% and 30% of the District's potable water use. Additionally, the District maintains ag/domestic meters where one meter serves both a home and agricultural land on a parcel. Currently, this water use is all included in ""residential"" use for the purposes of the GPCD, which overstates the GPCD. In 2011, we analyzed the amount that agriculture represent in ag/domestic accounts, excluded that amount, and it lowered the GPCD by approximately 12%, a substantial change. ",133691,"RCWD maintains a Water Conservation Policy that includes fines of up to $300 per violation for water wasting. The District is educating all employees, the public, and communicating with city, county and other appropriate personnel within our service area on reporting and responding to water waste. ","On August 15, 2014, the District's Board adopted a resolution of declaration of Stage 3, and approval of an updated Water Shortage Contingency Plan and Water Conservation Policy that, among other things, responds to the SWB Emergency Regulation. ",,," 2,500,257,999 "," 2,290,735,532 ",56%,No Correction Needed
Rainbow Municipal Water District,2,Yes,Jun-14,870.5,754,AF,,19495,,,,," 283,653,667 "," 245,691,976 ",38%,No Correction Needed
Oceanside  City of,Level 2,Yes,Jun-14,2891.9,2959.3,AF,Agriculture-   6.1%  Commercial-  10.0%  Government-  3.7%  Landscape Irrigation-  20.2%  Reclaimed-  0.6%  ,171289,,,,," 942,329,742 "," 964,292,128 ",59%,No Correction Needed
Tahoe City Public Utilities District,1,,Jun-14,54711551,62517294,G,"The Tahoe City Public Utility District provides water to a resort community. Approximately 70% of the homes are second homes and are occupied infrequently. As such our full time population is very low, which results in a gallons per capita day figure which does not conform to desired urban standards, especially in the summer months due to high part-time occupancy and automatic irrigation of second homes. Please review our data based on raw production volumes to show the results of conservation and drought response in our District. In our opinion comparing Tahoe City PUD's GPCD values to other Urban Water suppliers does not fairly represent water use per capita as compared to more urban areas.",5089,,,,," 54,711,551 "," 62,517,294 ",70%,No Correction Needed
Calexico  City of,2,Yes,Jun-14,194.14,230.8,MG,,40516,,,,," 194,140,000 "," 230,800,000 ",70%,No Correction Needed
Lompoc  City of,Stage 1,Yes,Jun-14,145.6,162.3,MG,Percentage Residential estimate taken from the City of Lompoc -- Utility Sales And Consumption Report 5/21/14-6/19/14.,39661,,,,," 145,600,000 "," 162,300,000 ",65%,No Correction Needed
California Water Service Company Bakersfield,2,No,Jun-14,8463,8331,AF,,275282,,,,," 2,757,680,627 "," 2,714,668,238 ",59%,No Correction Needed
California Water Service Company Oroville,2,No,Jun-14,281,322,AF,,10370,,,,," 91,564,251 "," 104,924,159 ",50%,No Correction Needed
Trabuco Canyon Water District,1,Yes,Jun-14,309,297,AF,"Portion of water used for agriculture, nurseries, fuel modification zones and common areas maintained by homeowner's associations, commercial centers, and partial golf course irrigation.",14907,,,105.5,AF," 100,688,091 "," 96,777,874 ",85%,No Correction Needed
Otay Water District,2,Yes,Jun-14,3269.4,3220,AF,,213000,,,,," 1,065,338,655 "," 1,049,241,595 ",57%,No Correction Needed
Truckee-Donner Public Utilities District,2,Yes,Jun-14,201222853,198856454,G,,16280,,,,," 201,222,853 "," 198,856,454 ",76%,No Correction Needed
"Modesto, City of",Stage 1,Yes,Jun-14,2099379623,2293460739,G,,217269,,,,," 2,099,379,623 "," 2,293,460,739 ",93%,No Correction Needed
Joshua Basin Water District,Stage 1 (BOD to Review Conserv Ordinance 8/20/14),No,Jun-14,178.766,165.035,AF,SFR = 4196 MFR = 59 CI = 172 O = 22 Total = 4449 4196 SFR + 59MFR = 4255 Residential 4255 Res/4449 Total = 95.6%,9969,,,,," 58,251,156 "," 53,776,890 ",96%,No Correction Needed
Santa Barbara  City of,2,Yes,Jun-14,1120,1277,AF,Approximately 20 AF of the City's June 2014 monthly production was sold to agricultural water customers.,92756,"The City enacted a Stage 2 Drought on May 20, 2014. Details, including the mandatory water conservation regulations, can be found here: http://www.santabarbaraca.gov/gov/depts/pw/resources/system/docs/stage2restrictions.asp",,72,AF," 364,953,598 "," 416,112,272 ",66%,No Correction Needed
Tuolumne Utilities District,Phase III of IV,Yes,Jun-14,384,639,AF,  This percentage is based on the annual use by class as listed in the TUD UWMP for 2010.  Residential use works out to about 81.6% of the water use annually.  It is then assumed that this is the same percentage by monthly production serving residential uses.      ,28997,,,,," 125,126,948 "," 208,219,062 ",82%,No Correction Needed
