Irvine Ranch Water District,Irvine Ranch Water ,Irvine Ranch Water ,Irvine Ranch  ,Irvine Ranch  ,Irvine Ranch  
Watsonville  City of,Watsonville  City of,Watsonville  ,Watsonville  ,Watsonville  ,Watsonville  
San Jose  City of,San Jose  City of,San Jose  ,San Jose  ,San Jose  ,San Jose  
Dinuba  City of,Dinuba  City of,Dinuba  ,Dinuba  ,Dinuba  ,Dinuba  
Casitas Municipal Water District,Casitas Municipal Water ,Casitas Municipal Water ,Casitas Municipal  ,Casitas Municipal  ,Casitas Municipal  
Sacramento Suburban Water District,Sacramento Suburban Water ,Sacramento Suburban Water ,Sacramento Suburban  ,Sacramento Suburban  ,Sacramento Suburban  
San Jose Water Company,San Jose Water Company,San Jose Water Company,San Jose  Company,San Jose  Company,San Jose  Company
Rowland Water District,Rowland Water ,Rowland Water ,Rowland  ,Rowland  ,Rowland  
Folsom  City of,Folsom  City of,Folsom  ,Folsom  ,Folsom  ,Folsom  
Chino  City of,Chino  City of,Chino  ,Chino  ,Chino  ,Chino  
Hi-Desert Water District,Hi-Desert Water ,Hi-Desert Water ,Hi-Desert  ,Hi-Desert  ,Hi-Desert  
"Soledad, City of","Soledad, City of","Soledad, ","Soledad, ",Soledad ,Soledad 
North Marin Water District,North Marin Water ,North Marin Water ,North Marin  ,North Marin  ,North Marin  
Marin Municipal Water District,Marin Municipal Water ,Marin Municipal Water ,Marin Municipal  ,Marin Municipal  ,Marin Municipal  
Shafter  City of,Shafter  City of,Shafter  ,Shafter  ,Shafter  ,Shafter  
"Windsor, Town of","Windsor, Town of","Windsor, Town of","Windsor, Town of",Windsor Town of,Windsor Town of
Indian Wells Valley Water District,Indian Wells Valley Water ,Indian Wells Valley Water ,Indian Wells Valley  ,Indian Wells Valley  ,Indian Wells Valley  
San Francisco Public Utilities Commission,San Francisco Public Utilities Commission,San Francisco Public Utilities Commission,San Francisco Public Utilities Commission,San Francisco Public Utilities Commission,San Francisco Public Utilities Commission
Brawley  City of,Brawley  City of,Brawley  ,Brawley  ,Brawley  ,Brawley  
Ontario  City of,Ontario  City of,Ontario  ,Ontario  ,Ontario  ,Ontario  
Huntington Beach  City of,Huntington Beach  City of,Huntington Beach  ,Huntington Beach  ,Huntington Beach  ,Huntington Beach  
Calaveras County Water District,Calaveras County Water ,Calaveras County Water ,Calaveras County  ,Calaveras County  ,Calaveras County  
Humboldt Bay Municipal Water District,Humboldt Bay Municipal Water ,Humboldt Bay Municipal Water ,Humboldt Bay Municipal  ,Humboldt Bay Municipal  ,Humboldt Bay Municipal  
Santa Maria  City of,Santa Maria  City of,Santa Maria  ,Santa Maria  ,Santa Maria  ,Santa Maria  
Yuba City  City of,Yuba City  City of,Yuba City  ,Yuba City  ,Yuba City  ,Yuba City  
Escondido  City of,Escondido  City of,Escondido  ,Escondido  ,Escondido  ,Escondido  
Los Angeles County Public Works Waterworks District 29,Los Angeles County Public Works Waterworks  29,Los Angeles County Public Works Waterworks  29,Los Angeles County Public Works works  29,Los Angeles County Public Works works  29,Los Angeles County Public Works works  29
Placer County Water Agency,Placer County Water Agency,Placer County Water Agency,Placer County  Agency,Placer County  Agency,Placer County  Agency
Corona  City of,Corona  City of,Corona  ,Corona  ,Corona  ,Corona  
Burbank  City of,Burbank  City of,Burbank  ,Burbank  ,Burbank  ,Burbank  
Camarillo  City of,Camarillo  City of,Camarillo  ,Camarillo  ,Camarillo  ,Camarillo  
Blythe  City of,Blythe  City of,Blythe  ,Blythe  ,Blythe  ,Blythe  
Roseville  City of,Roseville  City of,Roseville  ,Roseville  ,Roseville  ,Roseville  
Vista Irrigation District,Vista Irrigation ,Vista Irrigation ,Vista Irrigation ,Vista Irrigation ,Vista Irrigation 
West Valley Water District,West Valley Water ,West Valley Water ,West Valley  ,West Valley  ,West Valley  
Napa  City of,Napa  City of,Napa  ,Napa  ,Napa  ,Napa  
Mission Springs Water District,Mission Springs Water ,Mission Springs Water ,Mission Springs  ,Mission Springs  ,Mission Springs  
Los Angeles County Public Works Waterworks District 40,Los Angeles County Public Works Waterworks  40,Los Angeles County Public Works Waterworks  40,Los Angeles County Public Works works  40,Los Angeles County Public Works works  40,Los Angeles County Public Works works  40
Nevada Irrigation District,Nevada Irrigation ,Nevada Irrigation ,Nevada Irrigation ,Nevada Irrigation ,Nevada Irrigation 
Alameda County Water District,Alameda County Water ,Alameda County Water ,Alameda County  ,Alameda County  ,Alameda County  
Hawthorne  City of,Hawthorne  City of,Hawthorne  ,Hawthorne  ,Hawthorne  ,Hawthorne  
Nipomo Community Services District,Nipomo Community Services ,Nipomo Community Services ,Nipomo Community Services ,Nipomo Community Services ,Nipomo  Services 
Rancho California Water District,Rancho California Water ,Rancho California Water ,Rancho California  ,Rancho California  ,Rancho California  
Rainbow Municipal Water District,Rainbow Municipal Water ,Rainbow Municipal Water ,Rainbow Municipal  ,Rainbow Municipal  ,Rainbow Municipal  
Oceanside  City of,Oceanside  City of,Oceanside  ,Oceanside  ,Oceanside  ,Oceanside  
Western Municipal Water District of Riverside,Western Municipal Water  of Riverside,Western Municipal Water  of Riverside,Western Municipal   of Riverside,Western Municipal   of Riverside,Western Municipal   of Riverside
Tahoe City Public Utilities District,Tahoe City Public Utilities ,Tahoe City Public Utilities ,Tahoe City Public Utilities ,Tahoe City Public Utilities ,Tahoe City Public Utilities 
Calexico  City of,Calexico  City of,Calexico  ,Calexico  ,Calexico  ,Calexico  
Lompoc  City of,Lompoc  City of,Lompoc  ,Lompoc  ,Lompoc  ,Lompoc  
California Water Service Company Bakersfield,California Water Service Company Bakersfield,California Water Service Company Bakersfield,California  Service Company Bakersfield,California  Service Company Bakersfield,California  Service Company Bakersfield
Amador Water Agency,Amador Water Agency,Amador Water Agency,Amador  Agency,Amador  Agency,Amador  Agency
California Water Service Company Oroville,California Water Service Company Oroville,California Water Service Company Oroville,California  Service Company Oroville,California  Service Company Oroville,California  Service Company Oroville
Trabuco Canyon Water District,Trabuco Canyon Water ,Trabuco Canyon Water ,Trabuco Canyon  ,Trabuco Canyon  ,Trabuco Canyon  
Otay Water District,Otay Water ,Otay Water ,Otay  ,Otay  ,Otay  
Truckee-Donner Public Utilities District,Truckee-Donner Public Utilities ,Truckee-Donner Public Utilities ,Truckee-Donner Public Utilities ,Truckee-Donner Public Utilities ,Truckee-Donner Public Utilities 
"Modesto, City of","Modesto, City of","Modesto, ","Modesto, ",Modesto ,Modesto 
Joshua Basin Water District,Joshua Basin Water ,Joshua Basin Water ,Joshua Basin  ,Joshua Basin  ,Joshua Basin  
Santa Barbara  City of,Santa Barbara  City of,Santa Barbara  ,Santa Barbara  ,Santa Barbara  ,Santa Barbara  
Tuolumne Utilities District,Tuolumne Utilities ,Tuolumne Utilities ,Tuolumne Utilities ,Tuolumne Utilities ,Tuolumne Utilities 
Sacramento County Water Agency,Sacramento County Water Agency,Sacramento County Water Agency,Sacramento County  Agency,Sacramento County  Agency,Sacramento County  Agency
San Buenaventura  City of,San Buenaventura  City of,San Buenaventura  ,San Buenaventura  ,San Buenaventura  ,San Buenaventura  
Elk Grove Water Service,Elk Grove Water Service,Elk Grove Water Service,Elk Grove  Service,Elk Grove  Service,Elk Grove  Service
Newhall County Water District,Newhall County Water ,Newhall County Water ,Newhall County  ,Newhall County  ,Newhall County  
Valencia Water Company,Valencia Water Company,Valencia Water Company,Valencia  Company,Valencia  Company,Valencia  Company
Castaic Lake Water Agency Santa Clarita Water Division,Castaic Lake Water Agency Santa Clarita Water Division,Castaic Lake Water Agency Santa Clarita Water Division,Castaic Lake  Agency Santa Clarita  Division,Castaic Lake  Agency Santa Clarita  Division,Castaic Lake  Agency Santa Clarita  Division
California Water Service Company East Los Angeles,California Water Service Company East Los Angeles,California Water Service Company East Los Angeles,California  Service Company East Los Angeles,California  Service Company East Los Angeles,California  Service Company East Los Angeles
Exeter  City of,Exeter  City of,Exeter  ,Exeter  ,Exeter  ,Exeter  
"Rio Vista, city of","Rio Vista, city of","Rio Vista, city of","Rio Vista, city of",Rio Vista city of,Rio Vista city of
Sweetwater Springs Water District,Sweetwater Springs Water ,Sweetwater Springs Water ,Sweetwater Springs  ,Sweetwater Springs  ,Sweetwater Springs  
California Water Service Company Visalia,California Water Service Company Visalia,California Water Service Company Visalia,California  Service Company Visalia,California  Service Company Visalia,California  Service Company Visalia
California Water Service Company Selma,California Water Service Company Selma,California Water Service Company Selma,California  Service Company Selma,California  Service Company Selma,California  Service Company Selma
California Water Service Company Chico District,California Water Service Company Chico ,California Water Service Company Chico ,California  Service Company Chico ,California  Service Company Chico ,California  Service Company Chico 
Soquel Creek Water District,Soquel Creek Water ,Soquel Creek Water ,Soquel Creek  ,Soquel Creek  ,Soquel Creek  
East Valley Water District,East Valley Water ,East Valley Water ,East Valley  ,East Valley  ,East Valley  
California Water Service Company Bear Gulch,California Water Service Company Bear Gulch,California Water Service Company Bear Gulch,California  Service Company Bear Gulch,California  Service Company Bear Gulch,California  Service Company Bear Gulch
Buena Park  City of,Buena Park  City of,Buena Park  ,Buena Park  ,Buena Park  ,Buena Park  
South Gate  City of,South Gate  City of,South Gate  ,South Gate  ,South Gate  ,South Gate  
Hillsborough  Town of,Hillsborough  Town of,Hillsborough  Town of,Hillsborough  Town of,Hillsborough  Town of,Hillsborough  Town of
"California Water Service Company Dixon, City of","California Water Service Company Dixon, City of","California Water Service Company Dixon, ","California  Service Company Dixon, ",California  Service Company Dixon ,California  Service Company Dixon 
Redlands  City of,Redlands  City of,Redlands  ,Redlands  ,Redlands  ,Redlands  
San Juan Water District,San Juan Water ,San Juan Water ,San Juan  ,San Juan  ,San Juan  
Fountain Valley  City of,Fountain Valley  City of,Fountain Valley  ,Fountain Valley  ,Fountain Valley  ,Fountain Valley  
California Water Service Company Dominguez,California Water Service Company Dominguez,California Water Service Company Dominguez,California  Service Company Dominguez,California  Service Company Dominguez,California  Service Company Dominguez
Hayward  City of,Hayward  City of,Hayward  ,Hayward  ,Hayward  ,Hayward  
California Water Service Company Hermosa/Redondo,California Water Service Company Hermosa/Redondo,California Water Service Company Hermosa/Redondo,California  Service Company Hermosa/Redondo,California  Service Company Hermosa/Redondo,California  Service Company Hermosa/Redondo
California Water Service Company King City,California Water Service Company King City,California Water Service Company King City,California  Service Company King City,California  Service Company King City,California  Service Company King City
Yucaipa Valley Water District,Yucaipa Valley Water ,Yucaipa Valley Water ,Yucaipa Valley  ,Yucaipa Valley  ,Yucaipa Valley  
San Bernardino  City of,San Bernardino  City of,San Bernardino  ,San Bernardino  ,San Bernardino  ,San Bernardino  
Sacramento  City of,Sacramento  City of,Sacramento  ,Sacramento  ,Sacramento  ,Sacramento  
California Water Service Company Kern River Valley,California Water Service Company Kern River Valley,California Water Service Company Kern River Valley,California  Service Company Kern River Valley,California  Service Company Kern River Valley,California  Service Company Kern River Valley
California Water Service Company Los Altos/Suburban,California Water Service Company Los Altos/Suburban,California Water Service Company Los Altos/Suburban,California  Service Company Los Altos/Suburban,California  Service Company Los Altos/Suburban,California  Service Company Los Altos/Suburban
Hanford  City of,Hanford  City of,Hanford  ,Hanford  ,Hanford  ,Hanford  
California Water Service Company Livermore,California Water Service Company Livermore,California Water Service Company Livermore,California  Service Company Livermore,California  Service Company Livermore,California  Service Company Livermore
West Kern Water District,West Kern Water ,West Kern Water ,West Kern  ,West Kern  ,West Kern  
Paso Robles  City of,Paso Robles  City of,Paso Robles  ,Paso Robles  ,Paso Robles  ,Paso Robles  
Pismo Beach  City of,Pismo Beach  City of,Pismo Beach  ,Pismo Beach  ,Pismo Beach  ,Pismo Beach  
California Water Service Company Marysville,California Water Service Company Marysville,California Water Service Company Marysville,California  Service Company Marysville,California  Service Company Marysville,California  Service Company Marysville
Madera  City of,Madera  City of,Madera  ,Madera  ,Madera  ,Madera  
Hemet  City of,Hemet  City of,Hemet  ,Hemet  ,Hemet  ,Hemet  
California Water Service Company Mid Peninsula,California Water Service Company Mid Peninsula,California Water Service Company Mid Peninsula,California  Service Company Mid Peninsula,California  Service Company Mid Peninsula,California  Service Company Mid Peninsula
California Water Service Company Palos Verdes,California Water Service Company Palos Verdes,California Water Service Company Palos Verdes,California  Service Company Palos Verdes,California  Service Company Palos Verdes,California  Service Company Palos Verdes
"Colton, City of","Colton, City of","Colton, ","Colton, ",Colton ,Colton 
California Water Service Company Redwood Valley,California Water Service Company Redwood Valley,California Water Service Company Redwood Valley,California  Service Company Redwood Valley,California  Service Company Redwood Valley,California  Service Company Redwood Valley
Brea  City of,Brea  City of,Brea  ,Brea  ,Brea  ,Brea  
California Water Service Company Salinas District,California Water Service Company Salinas ,California Water Service Company Salinas ,California  Service Company Salinas ,California  Service Company Salinas ,California  Service Company Salinas 
Wasco  City of,Wasco  City of,Wasco  ,Wasco  ,Wasco  ,Wasco  
California Water Service Company South San Francisco,California Water Service Company South San Francisco,California Water Service Company South San Francisco,California  Service Company South San Francisco,California  Service Company South San Francisco,California  Service Company South San Francisco
"Tulare, City of","Tulare, City of","Tulare, ","Tulare, ",Tulare ,Tulare 
California Water Service Company Stockton,California Water Service Company Stockton,California Water Service Company Stockton,California  Service Company Stockton,California  Service Company Stockton,California  Service Company Stockton
California Water Service Company Willows,California Water Service Company Willows,California Water Service Company Willows,California  Service Company Willows,California  Service Company Willows,California  Service Company Willows
California Water Service Company Westlake,California Water Service Company Westlake,California Water Service Company Westlake,California  Service Company Westlake,California  Service Company Westlake,California  Service Company Westlake
"East Palo Alto, City of","East Palo Alto, City of","East Palo Alto, ","East Palo Alto, ",East Palo Alto ,East Palo Alto 
Banning  City of,Banning  City of,Banning  ,Banning  ,Banning  ,Banning  
Benicia  City of,Benicia  City of,Benicia  ,Benicia  ,Benicia  ,Benicia  
Westborough Water District,Westborough Water ,Westborough Water ,Westborough  ,Westborough  ,Westborough  
Woodland  City of,Woodland  City of,Woodland  ,Woodland  ,Woodland  ,Woodland  
Mountain View  City of,Mountain View  City of,Mountain View  ,Mountain View  ,Mountain View  ,Mountain View  
Mammoth Community Water District,Mammoth Community Water ,Mammoth Community Water ,Mammoth Community  ,Mammoth Community  ,Mammoth   
Antioch  City of,Antioch  City of,Antioch  ,Antioch  ,Antioch  ,Antioch  
Estero Municipal Improvement District,Estero Municipal Improvement ,Estero Municipal Improvement ,Estero Municipal Improvement ,Estero Municipal Improvement ,Estero Municipal Improvement 
East Orange County Water District,East Orange County Water ,East Orange County Water ,East Orange County  ,East Orange County  ,East Orange County  
Triunfo Sanitation District / Oak Park Water Service,Triunfo Sanitation  / Oak Park Water Service,Triunfo Sanitation  / Oak Park Water Service,Triunfo Sanitation  / Oak Park  Service,Triunfo Sanitation  / Oak Park  Service,Triunfo Sanitation  / Oak Park  Service
Vallecitos Water District,Vallecitos Water ,Vallecitos Water ,Vallecitos  ,Vallecitos  ,Vallecitos  
Indio  City of,Indio  City of,Indio  ,Indio  ,Indio  ,Indio  
Sunnyvale  City of,Sunnyvale  City of,Sunnyvale  ,Sunnyvale  ,Sunnyvale  ,Sunnyvale  
Santa Cruz  City of,Santa Cruz  City of,Santa Cruz  ,Santa Cruz  ,Santa Cruz  ,Santa Cruz  
Fortuna  City of,Fortuna  City of,Fortuna  ,Fortuna  ,Fortuna  ,Fortuna  
Clovis  City of,Clovis  City of,Clovis  ,Clovis  ,Clovis  ,Clovis  
East Niles Community Service District,East Niles Community Service ,East Niles Community Service ,East Niles Community Service ,East Niles Community Service ,East Niles  Service 
Loma Linda  City of *,Loma Linda  City of *,Loma Linda   *,Loma Linda   *,Loma Linda   *,Loma Linda   *
Loma Linda  City of,Loma Linda  City of,Loma Linda  ,Loma Linda  ,Loma Linda  ,Loma Linda  
Eastern Municipal Water District,Eastern Municipal Water ,Eastern Municipal Water ,Eastern Municipal  ,Eastern Municipal  ,Eastern Municipal  
Martinez  City of,Martinez  City of,Martinez  ,Martinez  ,Martinez  ,Martinez  
El Monte  City of,El Monte  City of,El Monte  ,El Monte  ,El Monte  ,El Monte  
Marina Coast Water District,Marina Coast Water ,Marina Coast Water ,Marina Coast  ,Marina Coast  ,Marina Coast  
Vacaville  City of,Vacaville  City of,Vacaville  ,Vacaville  ,Vacaville  ,Vacaville  
Pittsburg  City of,Pittsburg  City of,Pittsburg  ,Pittsburg  ,Pittsburg  ,Pittsburg  
San Bruno  City of,San Bruno  City of,San Bruno  ,San Bruno  ,San Bruno  ,San Bruno  
"American Canyon, City of","American Canyon, City of","American Canyon, ","American Canyon, ",American Canyon ,American Canyon 
Oildale Mutual Water Company,Oildale Mutual Water Company,Oildale Mutual Water Company,Oildale Mutual  Company,Oildale Mutual  Company,Oildale Mutual  Company
Livermore  City of Division of Water Resources,Livermore  City of Division of Water Resources,Livermore   Division of Water Resources,Livermore   Division of  Resources,Livermore   Division of  Resources,Livermore   Division of  Resources
Gilroy  City of,Gilroy  City of,Gilroy  ,Gilroy  ,Gilroy  ,Gilroy  
Crescenta Valley Water District,Crescenta Valley Water ,Crescenta Valley Water ,Crescenta Valley  ,Crescenta Valley  ,Crescenta Valley  
Downey  City of,Downey  City of,Downey  ,Downey  ,Downey  ,Downey  
San Gabriel Valley Water Company,San Gabriel Valley Water Company,San Gabriel Valley Water Company,San Gabriel Valley  Company,San Gabriel Valley  Company,San Gabriel Valley  Company
Santa Clara  City of,Santa Clara  City of,Santa Clara  ,Santa Clara  ,Santa Clara  ,Santa Clara  
Paradise Irrigation District,Paradise Irrigation ,Paradise Irrigation ,Paradise Irrigation ,Paradise Irrigation ,Paradise Irrigation 
Scotts Valley Water District,Scotts Valley Water ,Scotts Valley Water ,Scotts Valley  ,Scotts Valley  ,Scotts Valley  
Lincoln  City of,Lincoln  City of,Lincoln  ,Lincoln  ,Lincoln  ,Lincoln  
Vaughn Water Company,Vaughn Water Company,Vaughn Water Company,Vaughn  Company,Vaughn  Company,Vaughn  Company
McKinleyville Community Service District,McKinleyville Community Service ,McKinleyville Community Service ,McKinleyville Community Service ,McKinleyville Community Service ,McKinleyville  Service 
Cambria Community Services District,Cambria Community Services ,Cambria Community Services ,Cambria Community Services ,Cambria Community Services ,Cambria  Services 
Montebello Land and Water Company,Montebello Land and Water Company,Montebello Land and Water Company,Montebello Land and  Company,Montebello Land and  Company,Montebello Land and  Company
Humboldt Community Service District,Humboldt Community Service ,Humboldt Community Service ,Humboldt Community Service ,Humboldt Community Service ,Humboldt  Service 
Rohnert Park  City of,Rohnert Park  City of,Rohnert Park  ,Rohnert Park  ,Rohnert Park  ,Rohnert Park  
Valley of the Moon Water District,Valley of the Moon Water ,Valley of the Moon Water ,Valley of the Moon  ,Valley of the Moon  ,Valley of the Moon  
Bellflower-Somerset Mutual Water Company,Bellflower-Somerset Mutual Water Company,Bellflower-Somerset Mutual Water Company,Bellflower-Somerset Mutual  Company,Bellflower-Somerset Mutual  Company,Bellflower-Somerset Mutual  Company
Port Hueneme  City of,Port Hueneme  City of,Port Hueneme  ,Port Hueneme  ,Port Hueneme  ,Port Hueneme  
Petaluma  City of,Petaluma  City of,Petaluma  ,Petaluma  ,Petaluma  ,Petaluma  
Eureka  City of,Eureka  City of,Eureka  ,Eureka  ,Eureka  ,Eureka  
Diablo Water District,Diablo Water ,Diablo Water ,Diablo  ,Diablo  ,Diablo  
El Toro Water District,El Toro Water ,El Toro Water ,El Toro  ,El Toro  ,El Toro  
Brentwood  City of,Brentwood  City of,Brentwood  ,Brentwood  ,Brentwood  ,Brentwood  
Tracy  City of,Tracy  City of,Tracy  ,Tracy  ,Tracy  ,Tracy  
Menlo Park  City of,Menlo Park  City of,Menlo Park  ,Menlo Park  ,Menlo Park  ,Menlo Park  
Patterson  City of,Patterson  City of,Patterson  ,Patterson  ,Patterson  ,Patterson  
Garden Grove  City of,Garden Grove  City of,Garden Grove  ,Garden Grove  ,Garden Grove  ,Garden Grove  
Merced  City of,Merced  City of,Merced  ,Merced  ,Merced  ,Merced  
San Gabriel Valley Fontana Water Company,San Gabriel Valley Fontana Water Company,San Gabriel Valley Fontana Water Company,San Gabriel Valley Fontana  Company,San Gabriel Valley Fontana  Company,San Gabriel Valley Fontana  Company
Hesperia Water District City of,Hesperia Water  City of,Hesperia Water  ,Hesperia   ,Hesperia   ,Hesperia   
Moulton Niguel Water District,Moulton Niguel Water ,Moulton Niguel Water ,Moulton Niguel  ,Moulton Niguel  ,Moulton Niguel  
Oxnard  City of,Oxnard  City of,Oxnard  ,Oxnard  ,Oxnard  ,Oxnard  
"Tehachapi, City of","Tehachapi, City of","Tehachapi, ","Tehachapi, ",Tehachapi ,Tehachapi 
La Habra  City of Public Works,La Habra  City of Public Works,La Habra   Public Works,La Habra   Public Works,La Habra   Public Works,La Habra   Public Works
Lake Arrowhead Community Services District,Lake Arrowhead Community Services ,Lake Arrowhead Community Services ,Lake Arrowhead Community Services ,Lake Arrowhead Community Services ,Lake Arrowhead  Services 
"City of Big Bear Lake, Dept of Water & Power","City of Big Bear Lake, Dept of Water & Power"," Big Bear Lake, Dept of Water & Power"," Big Bear Lake, Dept of  & Power", Big Bear Lake Dept of  & Power, Big Bear Lake Dept of  & Power
Cerritos  City of,Cerritos  City of,Cerritos  ,Cerritos  ,Cerritos  ,Cerritos  
Fresno  City of,Fresno  City of,Fresno  ,Fresno  ,Fresno  ,Fresno  
Hollister  City of,Hollister  City of,Hollister  ,Hollister  ,Hollister  ,Hollister  
Sunnyslope County Water District,Sunnyslope County Water ,Sunnyslope County Water ,Sunnyslope County  ,Sunnyslope County  ,Sunnyslope County  
Laguna Beach County Water District,Laguna Beach County Water ,Laguna Beach County Water ,Laguna Beach County  ,Laguna Beach County  ,Laguna Beach County  
California-American Water Company Los Angeles District,California-American Water Company Los Angeles ,California-American Water Company Los Angeles ,California-American  Company Los Angeles ,California-American  Company Los Angeles ,California-American  Company Los Angeles 
California-American Water Company San Diego District,California-American Water Company San Diego ,California-American Water Company San Diego ,California-American  Company San Diego ,California-American  Company San Diego ,California-American  Company San Diego 
California-American Water Ventura District,California-American Water Ventura ,California-American Water Ventura ,California-American  Ventura ,California-American  Ventura ,California-American  Ventura 
Stockton  City of,Stockton  City of,Stockton  ,Stockton  ,Stockton  ,Stockton  
Lincoln Avenue Water Company,Lincoln Avenue Water Company,Lincoln Avenue Water Company,Lincoln Avenue  Company,Lincoln Avenue  Company,Lincoln Avenue  Company
Whittier  City of,Whittier  City of,Whittier  ,Whittier  ,Whittier  ,Whittier  
San Luis Obispo  City of,San Luis Obispo  City of,San Luis Obispo  ,San Luis Obispo  ,San Luis Obispo  ,San Luis Obispo  
"Kerman, City of","Kerman, City of","Kerman, ","Kerman, ",Kerman ,Kerman 
La Palma  City of,La Palma  City of,La Palma  ,La Palma  ,La Palma  ,La Palma  
Santa Margarita Water District,Santa Margarita Water ,Santa Margarita Water ,Santa Margarita  ,Santa Margarita  ,Santa Margarita  
Mesa Water District,Mesa Water ,Mesa Water ,Mesa  ,Mesa  ,Mesa  
California-American Water Company Monterey District,California-American Water Company Monterey ,California-American Water Company Monterey ,California-American  Company Monterey ,California-American  Company Monterey ,California-American  Company Monterey 
Arroyo Grande  City of,Arroyo Grande  City of,Arroyo Grande  ,Arroyo Grande  ,Arroyo Grande  ,Arroyo Grande  
